Unnamed: 0,REAL_1,REAL_1/SERV_1,VALOR_1,VALOR_1/SERV_1,REAL_2,REAL_2/SERV_2,VALOR_2,VALOR_2/SERV_2,REAL_3,REAL_3/SERV_3,VALOR_3,VALOR_3/SERV_3,REAL_4,REAL_4/SERV_4,VALOR_4,VALOR_4/SERV_4
01/01/2003,18.65,0.07,31.95,0.13,,,,,11.0,0.04,18.0,0.06,,,,
02/01/2003,5.9,0.02,5.9,0.02,,,,,7.4,0.02,33.8,0.11,,,,
03/01/2003,0.0,0.0,12.0,0.05,,,,,0.0,0.0,56.7,0.19,,,,
04/01/2003,0.0,0.0,10.6,0.04,,,,,0.0,0.0,5.9,0.02,,,,
05/01/2003,0.0,0.0,5.9,0.02,28.2,1.07,45.2,1.72,0.0,0.0,12.7,0.04,0.0,0.0,0.0,0.0
06/01/2003,3.9,0.02,8.2,0.03,6.9,0.08,9.8,0.11,0.0,0.0,10.4,0.03,0.0,0.0,0.0,0.0
07/01/2003,0.0,0.0,24.9,0.1,6.9,0.08,15.4,0.18,8.5,0.03,8.5,0.03,0.0,0.0,0.0,0.0
08/01/2003,0.0,0.0,13.8,0.06,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.03,0.0,0.0,0.0,0.0
09/01/2003,0.0,0.0,1.5,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/01/2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,0.05,0.0,0.0,20.4,0.13
11/01/2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.01,4.95,0.02,0.0,0.0,0.0,0.0
12/01/2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0.08,26.7,0.09,0.0,0.0,12.75,0.08
