Unnamed: 0,REAL_1,REAL_1/SERV_1,VALOR_1,VALOR_1/SERV_1,REAL_2,REAL_2/SERV_2,VALOR_2,VALOR_2/SERV_2,REAL_3,REAL_3/SERV_3,VALOR_3,VALOR_3/SERV_3,REAL_4,REAL_4/SERV_4,VALOR_4,VALOR_4/SERV_4,REAL_5,REAL_5/SERV_5,VALOR_5,VALOR_5/SERV_5,REAL_6,REAL_6/SERV_6,VALOR_6,VALOR_6/SERV_6,REAL_7,REAL_7/SERV_7,VALOR_7,VALOR_7/SERV_7,REAL_8,REAL_8/SERV_8,VALOR_8,VALOR_8/SERV_8
01/01/2004,0.0,0.0,29.9,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
02/01/2004,36.8,0.15,43.8,0.18,0.0,0.0,5.0,0.06,28.1,0.09,28.1,0.09,0,0.0,4.25,0.03,0.0,0.0,0.0,0.0,,,,,,,,,,,,
03/01/2004,28.5,0.11,37.5,0.15,0.0,0.0,0.0,0.0,17.0,0.06,17.0,0.06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
04/01/2004,24.0,0.1,24.0,0.1,0.0,0.0,7.0,0.08,2.0,0.01,2.0,0.01,0,0.0,1.7,0.01,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,
05/01/2004,16.0,0.06,18.5,0.07,6.9,0.08,6.9,0.08,21.9,0.07,21.9,0.07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,41.4,0.14,46.4,0.15,,,,
06/01/2004,1.75,0.01,4.75,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,0.04,0.0,0.0,0.0,0.0,,,,,3.9,0.01,3.9,0.01,,,,
07/01/2004,42.7,0.17,44.7,0.18,0.0,0.0,0.0,0.0,20.9,0.07,20.9,0.07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.0,0.01,3.0,0.01,56.0,0.14,56.0,0.14
08/01/2004,44.0,0.18,46.0,0.19,0.0,0.0,0.0,0.0,42.0,0.14,54.0,0.18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,70.3,0.23,70.3,0.23,10.6,0.03,56.45,0.14
09/01/2004,33.6,0.14,33.6,0.14,5.0,0.06,13.0,0.16,26.3,0.09,26.3,0.09,9,0.06,9.0,0.06,28.0,0.23,28.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.45,0.21,84.45,0.21
10/01/2004,15.0,0.06,15.0,0.06,10.0,0.16,16.0,0.26,4.0,0.01,4.0,0.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,0.2,20.5,0.2,14.0,0.05,14.0,0.05,5.8,0.01,5.8,0.01
11/01/2004,7.5,0.03,7.5,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.93,0.02,6.93,0.02
12/01/2004,0.0,0.0,10.0,0.03,0.0,0.0,5.0,0.08,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,16.0,0.15,16.0,0.15,54.0,0.18,58.0,0.19,3.5,0.01,23.5,0.06
