;REAL_3;REAL_3/SERV_3;VALOR_3;VALOR_3/SERV_3;REAL_7;REAL_7/SERV_7;VALOR_7;VALOR_7/SERV_7;REAL_13;REAL_13/SERV_13;VALOR_13;VALOR_13/SERV_13;REAL_14;REAL_14/SERV_14;VALOR_14;VALOR_14/SERV_14;REAL_16;REAL_16/SERV_16;VALOR_16;VALOR_16/SERV_16;REAL_26;REAL_26/SERV_26;VALOR_26;VALOR_26/SERV_26;REAL_27;REAL_27/SERV_27;VALOR_27;VALOR_27/SERV_27;REAL_28;REAL_28/SERV_28;VALOR_28;VALOR_28/SERV_28;REAL_29;REAL_29/SERV_29;VALOR_29;VALOR_29/SERV_29;REAL_30;REAL_30/SERV_30;VALOR_30;VALOR_30/SERV_30;REAL_31;REAL_31/SERV_31;VALOR_31;VALOR_31/SERV_31;REAL_32;REAL_32/SERV_32;VALOR_32;VALOR_32/SERV_32;REAL_33;REAL_33/SERV_33;VALOR_33;VALOR_33/SERV_33;REAL_8;REAL_8/SERV_8;VALOR_8;VALOR_8/SERV_8;REAL_34;REAL_34/SERV_34;VALOR_34;VALOR_34/SERV_34;REAL_35;REAL_35/SERV_35;VALOR_35;VALOR_35/SERV_35;REAL_36;REAL_36/SERV_36;VALOR_36;VALOR_36/SERV_36;REAL_37;REAL_37/SERV_37;VALOR_37;VALOR_37/SERV_37;REAL_38;REAL_38/SERV_38;VALOR_38;VALOR_38/SERV_38;REAL_39;REAL_39/SERV_39;VALOR_39;VALOR_39/SERV_39;REAL_40;REAL_40/SERV_40;VALOR_40;VALOR_40/SERV_40
01/01/2011;22,5;4%;22,5;4%;0;0%;0;0%;0;0%;0;0%;76,8;16%;76,8;16%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;19,9;10%;19,9;10%;144,1;9%;144,1;9%;5,5;1%;5,5;1%;285;32%;285;32%;123,9;30%;123,9;30%;25,7;3%;25,7;3%;0;0%;0;0%;22,5;3%;22,5;3%;;;;;;;;;;;;;;;;;;;;
02/01/2011;50;8%;50;8%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;21;10%;21;10%;82,7;5%;82,7;5%;0;0%;0;0%;99,8;11%;99,8;11%;88,9;21%;88,9;21%;80,4;10%;80,4;10%;0;0%;0;0%;0;0%;0;0%;;;;;;;;;;;;;;;;;;;;
03/01/2011;14,9;2%;14,9;2%;154;21%;154;21%;0;0%;0;0%;90,4;19%;90,4;19%;0;0%;0;0%;12,5;4%;12,5;4%;0;0%;0;0%;0;0%;0;0%;89;43%;89;43%;153,8;9%;252,8;15%;49,9;10%;49,9;10%;70,9;8%;70,9;8%;74,9;18%;74,9;18%;112;14%;149,9;18%;144;21%;144;21%;84,8;11%;84,8;11%;;;;;;;;;;;;;;;;;;;;
04/01/2011;0;0%;0;0%;177,5;24%;177,5;24%;0;0%;0;0%;12,5;3%;12,5;3%;0;0%;0;0%;22,5;7%;22,5;7%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;157,3;10%;157,3;10%;22,5;5%;22,5;5%;8,9;1%;8,9;1%;14,9;4%;14,9;4%;22,5;3%;22,5;3%;22,5;3%;22,5;3%;31,4;4%;31,4;4%;;;;;;;;;;;;;;;;;;;;
05/01/2011;9,9;2%;9,9;2%;23,8;3%;23,8;3%;106,5;17%;106,5;17%;65;14%;65;14%;0;0%;0;0%;12,5;4%;12,5;4%;0;0%;0;0%;0;0%;0;0%;12,5;6%;12,5;6%;82,8;5%;82,8;5%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;25;4%;25;4%;0;0%;0;0%;;;;;;;;;;;;;;;;;;;;
06/01/2011;44,7;7%;44,7;7%;275;37%;275;37%;69,9;11%;69,9;11%;0;0%;0;0%;0;0%;0;0%;12,5;4%;12,5;4%;0;0%;0;0%;0;0%;0;0%;49,9;24%;49,9;24%;79,9;5%;79,9;5%;0;0%;0;0%;8,9;1%;8,9;1%;0;0%;0;0%;74,2;9%;74,2;9%;59,6;9%;59,6;9%;7,9;1%;7,9;1%;;;;;;;;;;;;;;;;;;;;
07/01/2011;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;55;11%;55;11%;0;0%;0;0%;72,9;4%;72,9;4%;55;11%;55;11%;0;0%;0;0%;0;0%;0;0%;7,9;1%;7,9;1%;29,8;4%;29,8;4%;55;7%;55;7%;;;;;;;;;;;;;;;;;0;0%;0;0%
08/01/2011;69,9;11%;69,9;11%;9,9;1%;9,9;1%;55;8%;55;8%;0;0%;0;0%;32,4;8%;32,4;8%;0;0%;0;0%;0;0%;0;0%;32,4;7%;32,4;7%;0;0%;0;0%;73,9;5%;73,9;5%;55;11%;55;11%;32,25;4%;32,25;4%;0;0%;0;0%;18,8;2%;18,8;2%;17,5;3%;17,5;3%;0;0%;0;0%;0;0%;0;0%;;;;;;;;;;;;;0;0%;0;0%
09/01/2011;74,8;12%;74,8;12%;0;0%;0;0%;;;;;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;24,9;5%;24,9;5%;0;0%;0;0%;289,7;18%;289,7;18%;9,9;2%;9,9;2%;0;0%;0;0%;0;0%;0;0%;13,5;2%;13,5;2%;0;0%;0;0%;15,9;2%;15,9;2%;0;0%;0;0%;0;0%;0;0%;;;;;;;;;0;0%;0;0%
10/01/2011;59;10%;59;10%;83,9;9%;83,9;9%;;;;;42,8;8%;42,8;8%;;;;;69;19%;69;19%;0;0%;0;0%;13,5;3%;13,5;3%;0;0%;0;0%;0;0%;0;0%;9,9;2%;9,9;2%;0;0%;0;0%;59,8;13%;59,8;13%;59,8;7%;59,8;7%;16,5;2%;16,5;2%;24,9;3%;24,9;3%;;;;;0;0%;0;0%;;;;;;;;;0;0%;0;0%
11/01/2011;47,4;8%;47,4;8%;111,5;12%;111,5;12%;;;;;0;0%;0;0%;;;;;0;0%;0;0%;34,9;9%;34,9;9%;0;0%;0;0%;0;0%;0;0%;109;6%;109;6%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;42,4;5%;41,4;5%;42,4;6%;42,4;6%;69,8;8%;68,9;8%;;;;;0;0%;0;0%;79,6;4%;79,6;4%;0;0%;0;0%;0;0%;0;0%
12/01/2011;0;0%;0;0%;148,8;16%;148,8;16%;;;;;182,9;35%;182,9;35%;;;;;0;0%;0;0%;0;0%;0;0%;169;35%;169;35%;34,9;15%;34,9;15%;23,4;1%;23,4;1%;0;0%;0;0%;0;0%;0;0%;8,9;2%;8,9;2%;119,6;14%;134,6;16%;96;14%;96;14%;0;0%;0;0%;;;;;87,5;13%;87,5;13%;127,9;6%;127,9;6%;0;0%;0;0%;0;0%;0;0%
