;REAL_3;REAL_3/SERV_3;VALOR_3;VALOR_3/SERV_3;REAL_7;REAL_7/SERV_7;VALOR_7;VALOR_7/SERV_7;REAL_14;REAL_14/SERV_14;VALOR_14;VALOR_14/SERV_14;REAL_26;REAL_26/SERV_26;VALOR_26;VALOR_26/SERV_26;REAL_27;REAL_27/SERV_27;VALOR_27;VALOR_27/SERV_27;REAL_28;REAL_28/SERV_28;VALOR_28;VALOR_28/SERV_28;REAL_29;REAL_29/SERV_29;VALOR_29;VALOR_29/SERV_29;REAL_30;REAL_30/SERV_30;VALOR_30;VALOR_30/SERV_30;REAL_31;REAL_31/SERV_31;VALOR_31;VALOR_31/SERV_31;REAL_32;REAL_32/SERV_32;VALOR_32;VALOR_32/SERV_32;REAL_33;REAL_33/SERV_33;VALOR_33;VALOR_33/SERV_33;REAL_8;REAL_8/SERV_8;VALOR_8;VALOR_8/SERV_8;REAL_34;REAL_34/SERV_34;VALOR_34;VALOR_34/SERV_34;REAL_35;REAL_35/SERV_35;VALOR_35;VALOR_35/SERV_35;REAL_37;REAL_37/SERV_37;VALOR_37;VALOR_37/SERV_37;REAL_38;REAL_38/SERV_38;VALOR_38;VALOR_38/SERV_38;REAL_39;REAL_39/SERV_39;VALOR_39;VALOR_39/SERV_39;REAL_41;REAL_41/SERV_41;VALOR_41;VALOR_41/SERV_41;REAL_40;REAL_40/SERV_40;VALOR_40;VALOR_40/SERV_40;REAL_42;REAL_42/SERV_42;VALOR_42;VALOR_42/SERV_42;REAL_43;REAL_43/SERV_43;VALOR_43;VALOR_43/SERV_43;REAL_1;REAL_1/SERV_1;VALOR_1;VALOR_1/SERV_1;REAL_44;REAL_44/SERV_44;VALOR_44;VALOR_44/SERV_44
01/01/2012;72,50;0,10;72,50;0,10;79,00;0,09;79,00;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,40;0,05;25,40;0,05;0,00;0,00;0,00;0,00;236,65;0,13;236,65;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;83,50;0,18;83,50;0,18;159,70;0,19;159,70;0,19;37,50;0,05;37,50;0,05;17,50;0,02;17,50;0,02;194,40;0,28;194,40;0,28;55,40;0,03;55,40;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,50;0,06;17,50;0,06;;;;;;;;;;;;;;;;
02/01/2012;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,90;0,05;19,90;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;79,00;0,11;79,00;0,11;158,00;0,18;158,00;0,18;0,00;0,00;0,00;0,00;80,40;0,10;80,40;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,90;0,00;7,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;
03/01/2012;24,90;0,03;24,90;0,03;0,00;0,00;10,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,50;0,07;27,50;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;520,30;0,29;540,30;0,30;79,00;0,11;79,00;0,11;0,00;0,00;0,00;0,00;37,00;0,08;37,00;0,08;19,90;0,02;19,90;0,02;85,00;0,12;85,00;0,12;24,90;0,02;24,90;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;
04/01/2012;13,50;0,02;13,50;0,02;138,20;0,15;138,20;0,15;89,00;0,17;89,00;0,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;275,00;0,15;275,00;0,15;0,00;0,00;0,00;0,00;25,00;0,03;25,00;0,03;0,00;0,00;0,00;0,00;53,30;0,04;53,30;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,01;11,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;36,00;0,07;36,00;0,07;0,00;0,00;0,00;0,00;;;;;;;;
05/01/2012;24,90;0,03;24,90;0,03;0,00;0,00;0,00;0,00;89,00;0,17;89,00;0,17;34,90;0,10;34,90;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,05;11,00;0,05;27,50;0,02;27,50;0,02;72,50;0,10;72,50;0,10;0,00;0,00;0,00;0,00;22,00;0,05;22,00;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;148,40;0,14;148,40;0,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,50;0,09;27,50;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,50;0,01;27,50;0,01;;;;
06/01/2012;24,90;0,03;24,90;0,03;90,00;0,10;90,00;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,90;0,04;24,90;0,04;113,90;0,46;113,90;0,46;405,00;0,23;405,00;0,23;50,90;0,07;50,90;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;79,00;0,06;79,00;0,06;17,80;0,03;17,80;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,50;0,05;17,50;0,05;24,90;0,05;24,90;0,05;0,00;0,00;0,00;0,00;266,20;0,05;266,20;0,05;;;;
07/01/2012;79,00;0,11;79,00;0,11;70,00;0,08;70,00;0,08;35,00;0,06;35,00;0,06;22,50;0,06;22,50;0,06;79,00;0,18;79,00;0,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;48,40;0,03;48,40;0,03;69,00;0,10;69,00;0,10;19,90;0,02;19,90;0,02;13,50;0,03;13,50;0,03;91,30;0,07;91,30;0,07;0,00;0,00;0,00;0,00;69,00;0,06;69,00;0,06;0,00;0,00;0,00;0,00;92,00;0,04;107,00;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,50;0,04;13,50;0,04;47,40;0,09;47,40;0,09;0,00;0,00;0,00;0,00;150,60;0,03;150,60;0,03;0,00;0,00;0,00;0,00
08/01/2012;24,90;0,03;24,90;0,03;79,80;0,09;79,80;0,09;79,00;0,14;79,00;0,14;27,50;0,07;27,50;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;46,00;0,09;46,00;0,09;57,40;0,05;57,40;0,05;94,90;0,14;94,90;0,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;0,01;25,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;167,10;0,03;167,10;0,03;0,00;0,00;0,00;0,00
09/01/2012;27,50;0,04;27,50;0,04;52,00;0,06;52,00;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,50;0,13;32,50;0,13;0,00;0,00;0,00;0,00;26,00;0,04;26,00;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;45,00;0,04;45,00;0,04;22,50;0,03;22,50;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;215,60;0,04;215,60;0,04;0,00;0,00;0,00;0,00
10/01/2012;27,50;0,04;27,50;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;90,00;0,22;90,00;0,22;14,90;0,03;14,90;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;43,50;0,02;43,50;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;49,90;0,09;49,90;0,09;217,80;0,18;217,80;0,18;0,00;0,00;0,00;0,00;17,50;0,01;27,50;0,02;0,00;0,00;0,00;0,00;45,00;0,02;45,00;0,02;0,00;0,00;0,00;0,00;24,90;0,04;24,90;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;287,40;0,05;287,40;0,05;0,00;0,00;0,00;0,00
