Date,REAL_1,REAL_1/SERV_1,VALOR_1,VALOR_1/SERV_1,REAL_2,REAL_2/SERV_2,VALOR_2,VALOR_2/SERV_2,REAL_3,REAL_3/SERV_3,VALOR_3,VALOR_3/SERV_3,REAL_4,REAL_4/SERV_4,VALOR_4,VALOR_4/SERV_4,REAL_6,REAL_6/SERV_6,VALOR_6,VALOR_6/SERV_6,REAL_7,REAL_7/SERV_7,VALOR_7,VALOR_7/SERV_7,REAL_8,REAL_8/SERV_8,VALOR_8,VALOR_8/SERV_8,REAL_9,REAL_9/SERV_9,VALOR_9,VALOR_9/SERV_9,REAL_10,REAL_10/SERV_10,VALOR_10,VALOR_10/SERV_10,REAL_11,REAL_11/SERV_11,VALOR_11,VALOR_11/SERV_11,REAL_12,REAL_12/SERV_12,VALOR_12,VALOR_12/SERV_12
01/01/2004,0.0,0.0,0.0,0.0,5.9,0.1,5.9,0.1,49.75,0.17,49.75,0.17,0.0,0.0,0.0,0.0,8.25,0.08,8.25,0.08,23.6,0.08,23.6,0.08,27.8,0.07,31.8,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.06,32.0,0.06,44.0,0.17,56.0,0.22
02/01/2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.95,0.07,18.95,0.07
03/01/2004,0.0,0.0,13.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.28,42.0,0.41,5.0,0.02,15.0,0.05,0.0,0.0,4.0,0.01,2.9,0.02,2.9,0.02,13.75,0.05,13.75,0.05,0.0,0.0,0.0,0.0,15.6,0.06,15.6,0.06
04/01/2004,0.0,0.0,10.0,0.03,0.0,0.0,10.0,0.16,41.4,0.12,41.4,0.12,0.0,0.0,0.0,0.0,3.9,0.04,3.9,0.04,23.45,0.08,25.45,0.08,4.9,0.01,14.4,0.04,25.0,0.16,25.0,0.16,0.0,0.0,0.0,0.0,56.0,0.1,56.0,0.1,86.8,0.33,86.8,0.33
05/01/2004,18.0,0.05,18.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.17,18.0,0.17,21.0,0.07,21.0,0.07,0.0,0.0,0.0,0.0,16.0,0.1,16.0,0.1,0.0,0.0,0.0,0.0,74.0,0.1,74.0,0.1,0.0,0.0,0.0,0.0
06/01/2004,2.9,0.01,2.9,0.01,0.0,0.0,0.0,0.0,18.0,0.05,18.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.05,14.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,0.04,9.8,0.04
07/01/2004,18.0,0.05,18.0,0.05,0.0,0.0,0.0,0.0,29.7,0.08,29.7,0.08,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.07,18.0,0.07
08/01/2004,0.0,0.0,0.0,0.0,10.0,0.16,10.0,0.16,44.2,0.12,44.2,0.12,0.0,0.0,0.0,0.0,16.0,0.15,16.0,0.15,46.2,0.15,46.2,0.15,1.1,0.0,1.1,0.0,21.0,0.14,21.0,0.14,0.0,0.0,0.0,0.0,46.0,0.06,46.0,0.06,84.1,0.32,84.1,0.32
09/01/2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.15,44.0,0.15,15.0,0.04,15.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.1,76.0,0.1,0.0,0.0,0.0,0.0
10/01/2004,0.0,0.0,50.0,0.13,5.9,0.1,5.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,0.17,47.7,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/01/2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.07,7.5,0.07,53.7,0.18,53.7,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.15,56.0,0.15,119.0,0.15,119.0,0.15,6.25,0.02,6.25,0.02
12/01/2004,92.0,0.25,92.0,0.25,0.0,0.0,0.0,0.0,27.9,0.08,27.9,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,0.2,60.5,0.2,8.0,0.02,8.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.13,118.0,0.15,21.0,0.08,21.0,0.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
