Date,REAL_1,REAL_1/SERV_1,VALOR_1,VALOR_1/SERV_1,REAL_3,REAL_3/SERV_3,VALOR_3,VALOR_3/SERV_3,REAL_7,REAL_7/SERV_7,VALOR_7,VALOR_7/SERV_7,REAL_8,REAL_8/SERV_8,VALOR_8,VALOR_8/SERV_8,REAL_10,REAL_10/SERV_10,VALOR_10,VALOR_10/SERV_10,REAL_11,REAL_11/SERV_11,VALOR_11,VALOR_11/SERV_11,REAL_12,REAL_12/SERV_12,VALOR_12,VALOR_12/SERV_12,REAL_13,REAL_13/SERV_13,VALOR_13,VALOR_13/SERV_13,REAL_14,REAL_14/SERV_14,VALOR_14,VALOR_14/SERV_14,REAL_15,REAL_15/SERV_15,VALOR_15,VALOR_15/SERV_15,REAL_16,REAL_16/SERV_16,VALOR_16,VALOR_16/SERV_16,REAL_17,REAL_17/SERV_17,VALOR_17,VALOR_17/SERV_17,REAL_18,REAL_18/SERV_18,VALOR_18,VALOR_18/SERV_18,REAL_19,REAL_19/SERV_19,VALOR_19,VALOR_19/SERV_19
01/01/2007,318.3,0.48,337.8,0.51,23.0,0.06,23.0,0.06,16.9,0.06,16.9,0.06,57.8,0.14,57.8,0.14,38.0,0.11,38.0,0.11,60.0,0.08,60.0,0.08,16.1,0.06,16.1,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2007,71.5,0.11,81.5,0.12,0.0,0.0,0.0,0.0,18.0,0.06,18.0,0.06,0.0,0.0,0.0,0.0,92.0,0.25,92.0,0.25,116.0,0.15,116.0,0.15,18.95,0.07,18.95,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2007,34.9,0.05,34.9,0.05,8.7,0.02,8.7,0.02,75.0,0.25,75.0,0.25,43.5,0.11,43.5,0.11,0.0,0.0,0.0,0.0,60.5,0.08,80.5,0.1,22.1,0.08,22.1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2007,41.9,0.06,41.9,0.06,0.0,0.0,0.0,0.0,5.75,0.02,5.75,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.05,22.0,0.05,7.9,0.02,7.9,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
05/01/2007,109.3,0.17,109.3,0.17,0.0,0.0,0.0,0.0,43.0,0.14,43.0,0.14,5.9,0.01,5.9,0.01,18.0,0.04,18.0,0.04,18.0,0.02,18.0,0.02,95.8,0.37,95.8,0.37,64.0,0.14,64.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.13,20.0,0.13,,,,,,,,
06/01/2007,80.0,0.12,80.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,0.13,60.9,0.13,103.5,0.13,103.5,0.13,12.0,0.04,12.0,0.04,25.0,0.06,25.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
07/01/2007,188.9,0.29,188.9,0.29,11.4,0.03,11.4,0.03,49.6,0.16,49.6,0.16,37.4,0.09,37.4,0.09,12.5,0.03,12.5,0.03,93.5,0.12,93.5,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.04,12.5,0.04,29.7,0.09,29.7,0.09,9.9,0.07,9.9,0.07,40.0,0.06,40.0,0.06,0.0,0.0,0.0,0.0
08/01/2007,95.2,0.14,95.2,0.14,0.0,0.0,0.0,0.0,64.2,0.21,64.2,0.21,35.8,0.09,35.8,0.09,55.0,0.12,55.0,0.12,84.0,0.11,84.0,0.11,16.4,0.05,16.4,0.05,42.9,0.1,42.9,0.1,0.0,0.0,0.0,0.0,7.9,0.02,7.9,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.7,0.05,53.7,0.05,0.0,0.0,0.0,0.0
09/01/2007,134.2,0.2,134.2,0.2,0.0,0.0,0.0,0.0,5.85,0.02,5.85,0.02,13.4,0.03,13.4,0.03,84.0,0.18,84.0,0.18,228.1,0.29,228.1,0.29,12.8,0.04,12.8,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.06,20.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.03,30.0,0.03,0.0,0.0,0.0,0.0
10/01/2007,14.9,0.02,39.9,0.06,20.5,0.06,20.5,0.06,0.0,0.0,0.0,0.0,6.4,0.02,6.4,0.02,29.8,0.06,29.8,0.06,59.6,0.08,59.6,0.08,59.6,0.18,59.6,0.18,27.8,0.06,27.8,0.06,0.0,0.0,0.0,0.0,12.1,0.04,12.1,0.04,21.9,0.07,21.9,0.07,9.9,0.07,9.9,0.07,16.7,0.02,16.7,0.02,0.0,0.0,0.0,0.0
