Date,REAL_1,REAL_1/SERV_1,VALOR_1,VALOR_1/SERV_1,REAL_3,REAL_3/SERV_3,VALOR_3,VALOR_3/SERV_3,REAL_7,REAL_7/SERV_7,VALOR_7,VALOR_7/SERV_7,REAL_8,REAL_8/SERV_8,VALOR_8,VALOR_8/SERV_8,REAL_10,REAL_10/SERV_10,VALOR_10,VALOR_10/SERV_10,REAL_11,REAL_11/SERV_11,VALOR_11,VALOR_11/SERV_11,REAL_12,REAL_12/SERV_12,VALOR_12,VALOR_12/SERV_12,REAL_13,REAL_13/SERV_13,VALOR_13,VALOR_13/SERV_13,REAL_14,REAL_14/SERV_14,VALOR_14,VALOR_14/SERV_14,REAL_15,REAL_15/SERV_15,VALOR_15,VALOR_15/SERV_15,REAL_16,REAL_16/SERV_16,VALOR_16,VALOR_16/SERV_16,REAL_17,REAL_17/SERV_17,VALOR_17,VALOR_17/SERV_17,REAL_18,REAL_18/SERV_18,VALOR_18,VALOR_18/SERV_18,REAL_19,REAL_19/SERV_19,VALOR_19,VALOR_19/SERV_19,REAL_20,REAL_20/SERV_20,VALOR_20,VALOR_20/SERV_20,REAL_21,REAL_21/SERV_21,VALOR_21,VALOR_21/SERV_21,REAL_22,REAL_22/SERV_22,VALOR_22,VALOR_22/SERV_22,REAL_23,REAL_23/SERV_23,VALOR_23,VALOR_23/SERV_23,REAL_24,REAL_24/SERV_24,VALOR_24,VALOR_24/SERV_24,REAL_25,REAL_25/SERV_25,VALOR_25,VALOR_25/SERV_25
01/01/2008,147.8,0.22,153.8,0.23,58.7,0.14,58.7,0.14,0.0,0.0,16.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.09,72.0,0.09,14.35,0.03,22.35,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.65,0.02,18.65,0.02,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2008,99.1,0.15,99.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.02,0.0,0.0,0.0,0.0,20.9,0.03,20.9,0.03,0.0,0.0,0.0,0.0,44.6,0.09,44.6,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.06,9.9,0.06,48.15,0.05,48.15,0.05,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2008,0.0,0.0,0.0,0.0,17.5,0.04,17.5,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.02,9.9,0.02,19.8,0.05,24.3,0.06,34.9,0.07,34.9,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2008,142.0,0.21,145.0,0.22,34.9,0.08,34.9,0.08,89.5,0.16,89.5,0.16,25.5,0.06,25.5,0.06,0.0,0.0,0.0,0.0,157.5,0.27,157.5,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.01,1.95,0.01,18.3,0.02,18.3,0.02,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2008,84.7,0.13,88.2,0.13,34.9,0.08,34.9,0.08,34.9,0.06,34.9,0.06,0.0,0.0,0.0,0.0,35.0,0.11,35.0,0.11,222.5,0.38,222.5,0.38,90.7,0.22,90.7,0.22,69.8,0.14,69.8,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
06/01/2008,5.5,0.01,5.5,0.01,28.5,0.07,28.5,0.07,0.0,0.0,0.0,0.0,34.9,0.09,34.9,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
07/01/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,0.03,18.3,0.03,0.0,0.0,0.0,0.0,5.5,0.02,5.5,0.02,,,,,22.0,0.05,22.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.4,0.16,62.4,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/01/2008,5.9,0.01,5.9,0.01,0.0,0.0,0.0,0.0,9.9,0.02,9.9,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,70.8,0.17,70.8,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,4.5,0.02,4.5,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.04,8.9,0.04,4.9,0.02,4.9,0.02
09/01/2008,117.5,0.18,117.5,0.18,57.4,0.12,57.4,0.12,125.7,0.22,125.7,0.22,0.0,0.0,0.0,0.0,90.0,0.27,90.0,0.27,,,,,29.9,0.07,29.9,0.07,39.9,0.07,39.9,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4,0.08,32.4,0.08,,,,,,,,,,,,,113.6,0.53,113.6,0.53,14.4,0.03,14.4,0.03,0.0,0.0,0.0,0.0,22.0,0.07,22.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/01/2008,0.0,0.0,0.0,0.0,23.4,0.05,23.4,0.05,89.3,0.16,134.0,0.23,2.75,0.01,2.75,0.01,0.0,0.0,0.0,0.0,,,,,35.0,0.08,35.0,0.08,0.0,0.0,11.0,0.02,0.0,0.0,0.0,0.0,35.0,0.1,35.0,0.1,0.0,0.0,17.5,0.05,,,,,,,,,,,,,0.0,0.0,0.0,0.0,32.9,0.08,32.9,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,0.06,15.4,0.06
