Date,REAL_3,REAL_3/SERV_3,VALOR_3,VALOR_3/SERV_3,REAL_7,REAL_7/SERV_7,VALOR_7,VALOR_7/SERV_7,REAL_12,REAL_12/SERV_12,VALOR_12,VALOR_12/SERV_12,REAL_13,REAL_13/SERV_13,VALOR_13,VALOR_13/SERV_13,REAL_14,REAL_14/SERV_14,VALOR_14,VALOR_14/SERV_14,REAL_15,REAL_15/SERV_15,VALOR_15,VALOR_15/SERV_15,REAL_16,REAL_16/SERV_16,VALOR_16,VALOR_16/SERV_16,REAL_20,REAL_20/SERV_20,VALOR_20,VALOR_20/SERV_20,REAL_21,REAL_21/SERV_21,VALOR_21,VALOR_21/SERV_21,REAL_22,REAL_22/SERV_22,VALOR_22,VALOR_22/SERV_22,REAL_23,REAL_23/SERV_23,VALOR_23,VALOR_23/SERV_23,REAL_24,REAL_24/SERV_24,VALOR_24,VALOR_24/SERV_24,REAL_25,REAL_25/SERV_25,VALOR_25,VALOR_25/SERV_25,REAL_26,REAL_26/SERV_26,VALOR_26,VALOR_26/SERV_26,REAL_27,REAL_27/SERV_27,VALOR_27,VALOR_27/SERV_27,REAL_28,REAL_28/SERV_28,VALOR_28,VALOR_28/SERV_28,REAL_29,REAL_29/SERV_29,VALOR_29,VALOR_29/SERV_29,REAL_30,REAL_30/SERV_30,VALOR_30,VALOR_30/SERV_30,REAL_31,REAL_31/SERV_31,VALOR_31,VALOR_31/SERV_31,REAL_32,REAL_32/SERV_32,VALOR_32,VALOR_32/SERV_32,REAL_33,REAL_33/SERV_33,VALOR_33,VALOR_33/SERV_33,REAL_8,REAL_8/SERV_8,VALOR_8,VALOR_8/SERV_8,REAL_32.1,REAL_34/SERV_34,VALOR_34,VALOR_34/SERV_34,REAL_34,REAL_35/SERV_35,VALOR_35,VALOR_35/SERV_35
01/01/2010,0.0,0.0,0.0,0.0,172.9,0.3,172.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,0.11,39.5,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.18,49.0,0.18,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,92.4,0.06,92.4,0.06,49.0,0.1,49.0,0.1,75.0,0.1,75.0,0.1,,,,,,,,,,,,,,,,
02/01/2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.12,49.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,66.3,0.05,66.3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
03/01/2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.8,0.07,39.8,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.02,4.9,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.03,6.5,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,110.0,0.29,110.0,0.29,0,0,0,0,17.5,0.01,17.5,0.01,22.5,0.05,22.5,0.05,51.2,0.07,51.2,0.07,0.0,0.0,0.0,0.0,,,,,,,,,,,,
04/01/2010,189.8,0.34,189.8,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.04,22.5,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,11.0,0.03,11.0,0.03,0,0,0,0,94.7,0.07,94.7,0.07,52.4,0.11,52.4,0.11,17.5,0.02,17.5,0.02,0.0,0.0,0.0,0.0,165.0,0.5,165.0,0.5,,,,,,,,
05/01/2010,0.0,0.0,0.0,0.0,224.9,0.3,224.9,0.3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,14.9,0.04,14.9,0.04,0,0,0,0,83.7,0.06,83.7,0.06,14.9,0.03,14.9,0.03,19.25,0.03,19.25,0.03,0.0,0.0,0.0,0.0,49.9,0.06,49.9,0.06,,,,,,,,
06/01/2010,110.0,0.2,110.0,0.2,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,12.5,0.03,12.5,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,14.9,0.01,14.9,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4,0.04,31.4,0.04,,,,,,,,
07/01/2010,0.0,0.0,0.0,0.0,31.0,0.04,31.0,0.04,,,,,0.0,0.0,0.0,0.0,65.0,0.15,65.0,0.15,,,,,52.4,0.13,52.4,0.13,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,96.9,0.07,96.9,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.03,12.5,0.03,37.8,0.05,37.8,0.05,,,,,,,,
08/01/2010,0.0,0.0,0.0,0.0,34.9,0.05,34.9,0.05,,,,,34.9,0.06,34.9,0.06,110.0,0.25,110.0,0.25,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,13.5,0.01,13.5,0.01,55.0,0.11,55.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.2,0.16,132.2,0.16,,,,,,,,
09/01/2010,0.0,0.0,0.0,0.0,49.9,0.07,49.9,0.07,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,12.5,0.04,12.5,0.04,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,102.1,0.07,102.1,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.9,0.06,49.9,0.06,,,,,,,,
10/01/2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,83.9,0.06,83.9,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.03,25.0,0.03,,,,,,,,
11/01/2010,0.0,0.0,0.0,0.0,28.0,0.04,28.0,0.04,,,,,0.0,0.0,0.0,0.0,24.9,0.05,24.9,0.05,,,,,99.6,0.23,99.6,0.23,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,59,0.18,59,0.18,29.9,0.07,29.9,0.07,0,0,0,0,173.7,0.11,173.7,0.11,24.9,0.05,24.9,0.05,0.0,0.0,0.0,0.0,39.9,0.1,39.9,0.1,24.9,0.03,24.9,0.03,24.9,0.04,24.9,0.04,242.0,0.31,242.0,0.31
12/01/2010,0.0,0.0,0.0,0.0,234.65,0.32,234.65,0.32,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,22.5,0.07,22.5,0.07,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,26.0,0.02,26.0,0.02,59.0,0.12,59.0,0.12,146.7,0.2,146.7,0.2,45.0,0.11,45.0,0.11,45.0,0.05,45.0,0.05,12.5,0.02,12.5,0.02,113.9,0.15,113.9,0.15
