Date,REAL_3,REAL_3/SERV_3,VALOR_3,VALOR_3/SERV_3,REAL_7,REAL_7/SERV_7,VALOR_7,VALOR_7/SERV_7,REAL_13,REAL_13/SERV_13,VALOR_13,VALOR_13/SERV_13,REAL_14,REAL_14/SERV_14,VALOR_14,VALOR_14/SERV_14,REAL_16,REAL_16/SERV_16,VALOR_16,VALOR_16/SERV_16,REAL_26,REAL_26/SERV_26,VALOR_26,VALOR_26/SERV_26,REAL_27,REAL_27/SERV_27,VALOR_27,VALOR_27/SERV_27,REAL_28,REAL_28/SERV_28,VALOR_28,VALOR_28/SERV_28,REAL_29,REAL_29/SERV_29,VALOR_29,VALOR_29/SERV_29,REAL_30,REAL_30/SERV_30,VALOR_30,VALOR_30/SERV_30,REAL_31,REAL_31/SERV_31,VALOR_31,VALOR_31/SERV_31,REAL_32,REAL_32/SERV_32,VALOR_32,VALOR_32/SERV_32,REAL_33,REAL_33/SERV_33,VALOR_33,VALOR_33/SERV_33,REAL_8,REAL_8/SERV_8,VALOR_8,VALOR_8/SERV_8,REAL_34,REAL_34/SERV_34,VALOR_34,VALOR_34/SERV_34,REAL_35,REAL_35/SERV_35,VALOR_35,VALOR_35/SERV_35,REAL_36,REAL_36/SERV_36,VALOR_36,VALOR_36/SERV_36,REAL_37,REAL_37/SERV_37,VALOR_37,VALOR_37/SERV_37,REAL_38,REAL_38/SERV_38,VALOR_38,VALOR_38/SERV_38,REAL_39,REAL_39/SERV_39,VALOR_39,VALOR_39/SERV_39,REAL_40,REAL_40/SERV_40,VALOR_40,VALOR_40/SERV_40
01/01/2011,22.5,0.04,22.5,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.8,0.16,76.8,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.1,19.9,0.1,144.1,0.09,144.1,0.09,5.5,0.01,5.5,0.01,285.0,0.32,285.0,0.32,123.9,0.3,123.9,0.3,25.7,0.03,25.7,0.03,0.0,0.0,0.0,0.0,22.5,0.03,22.5,0.03,,,,,,,,,,,,,,,,,,,,
02/01/2011,50.0,0.08,50.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.1,21.0,0.1,82.7,0.05,82.7,0.05,0.0,0.0,0.0,0.0,99.8,0.11,99.8,0.11,88.9,0.21,88.9,0.21,80.4,0.1,80.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
03/01/2011,14.9,0.02,14.9,0.02,154.0,0.21,154.0,0.21,0.0,0.0,0.0,0.0,90.4,0.19,90.4,0.19,0.0,0.0,0.0,0.0,12.5,0.04,12.5,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.43,89.0,0.43,153.8,0.09,252.8,0.15,49.9,0.1,49.9,0.1,70.9,0.08,70.9,0.08,74.9,0.18,74.9,0.18,112.0,0.14,149.9,0.18,144.0,0.21,144.0,0.21,84.8,0.11,84.8,0.11,,,,,,,,,,,,,,,,,,,,
04/01/2011,0.0,0.0,0.0,0.0,177.5,0.24,177.5,0.24,0.0,0.0,0.0,0.0,12.5,0.03,12.5,0.03,0.0,0.0,0.0,0.0,22.5,0.07,22.5,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.3,0.1,157.3,0.1,22.5,0.05,22.5,0.05,8.9,0.01,8.9,0.01,14.9,0.04,14.9,0.04,22.5,0.03,22.5,0.03,22.5,0.03,22.5,0.03,31.4,0.04,31.4,0.04,,,,,,,,,,,,,,,,,,,,
05/01/2011,9.9,0.02,9.9,0.02,23.8,0.03,23.8,0.03,106.5,0.17,106.5,0.17,65.0,0.14,65.0,0.14,0.0,0.0,0.0,0.0,12.5,0.04,12.5,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.06,12.5,0.06,82.8,0.05,82.8,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.04,25.0,0.04,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
06/01/2011,44.7,0.07,44.7,0.07,275.0,0.37,275.0,0.37,69.9,0.11,69.9,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.04,12.5,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.9,0.24,49.9,0.24,79.9,0.05,79.9,0.05,0.0,0.0,0.0,0.0,8.9,0.01,8.9,0.01,0.0,0.0,0.0,0.0,74.2,0.09,74.2,0.09,59.6,0.09,59.6,0.09,7.9,0.01,7.9,0.01,,,,,,,,,,,,,,,,,,,,
07/01/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.11,55.0,0.11,0.0,0.0,0.0,0.0,72.9,0.04,72.9,0.04,55.0,0.11,55.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.01,7.9,0.01,29.8,0.04,29.8,0.04,55.0,0.07,55.0,0.07,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
08/01/2011,69.9,0.11,69.9,0.11,9.9,0.01,9.9,0.01,55.0,0.08,55.0,0.08,0.0,0.0,0.0,0.0,32.4,0.08,32.4,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4,0.07,32.4,0.07,0.0,0.0,0.0,0.0,73.9,0.05,73.9,0.05,55.0,0.11,55.0,0.11,32.25,0.04,32.25,0.04,0.0,0.0,0.0,0.0,18.8,0.02,18.8,0.02,17.5,0.03,17.5,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0
09/01/2011,74.8,0.12,74.8,0.12,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,0.05,24.9,0.05,0.0,0.0,0.0,0.0,289.7,0.18,289.7,0.18,9.9,0.02,9.9,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.02,13.5,0.02,0.0,0.0,0.0,0.0,15.9,0.02,15.9,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0
10/01/2011,59.0,0.1,59.0,0.1,83.9,0.09,83.9,0.09,,,,,42.8,0.08,42.8,0.08,,,,,69.0,0.19,69.0,0.19,0.0,0.0,0.0,0.0,13.5,0.03,13.5,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.02,9.9,0.02,0.0,0.0,0.0,0.0,59.8,0.13,59.8,0.13,59.8,0.07,59.8,0.07,16.5,0.02,16.5,0.02,24.9,0.03,24.9,0.03,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0
