Date,REAL_3,REAL_3/SERV_3,VALOR_3,VALOR_3/SERV_3,REAL_7,REAL_7/SERV_7,VALOR_7,VALOR_7/SERV_7,REAL_14,REAL_14/SERV_14,VALOR_14,VALOR_14/SERV_14,REAL_26,REAL_26/SERV_26,VALOR_26,VALOR_26/SERV_26,REAL_27,REAL_27/SERV_27,VALOR_27,VALOR_27/SERV_27,REAL_28,REAL_28/SERV_28,VALOR_28,VALOR_28/SERV_28,REAL_29,REAL_29/SERV_29,VALOR_29,VALOR_29/SERV_29,REAL_30,REAL_30/SERV_30,VALOR_30,VALOR_30/SERV_30,REAL_31,REAL_31/SERV_31,VALOR_31,VALOR_31/SERV_31,REAL_32,REAL_32/SERV_32,VALOR_32,VALOR_32/SERV_32,REAL_33,REAL_33/SERV_33,VALOR_33,VALOR_33/SERV_33,REAL_8,REAL_8/SERV_8,VALOR_8,VALOR_8/SERV_8,REAL_34,REAL_34/SERV_34,VALOR_34,VALOR_34/SERV_34,REAL_35,REAL_35/SERV_35,VALOR_35,VALOR_35/SERV_35,REAL_37,REAL_37/SERV_37,VALOR_37,VALOR_37/SERV_37,REAL_38,REAL_38/SERV_38,VALOR_38,VALOR_38/SERV_38,REAL_39,REAL_39/SERV_39,VALOR_39,VALOR_39/SERV_39,REAL_41,REAL_41/SERV_41,VALOR_41,VALOR_41/SERV_41,REAL_40,REAL_40/SERV_40,VALOR_40,VALOR_40/SERV_40,REAL_42,REAL_42/SERV_42,VALOR_42,VALOR_42/SERV_42,REAL_43,REAL_43/SERV_43,VALOR_43,VALOR_43/SERV_43,REAL_1,REAL_1/SERV_1,VALOR_1,VALOR_1/SERV_1,REAL_44,REAL_44/SERV_44,VALOR_44,VALOR_44/SERV_44
01/01/2012,72.5,0.1,72.5,0.1,79.0,0.09,79.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,0.05,25.4,0.05,0.0,0.0,0.0,0.0,236.65,0.13,236.65,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.5,0.18,83.5,0.18,159.7,0.19,159.7,0.19,37.5,0.05,37.5,0.05,17.5,0.02,17.5,0.02,194.4,0.28,194.4,0.28,55.4,0.03,55.4,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.06,17.5,0.06,,,,,,,,,,,,,,,,
02/01/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.05,19.9,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.11,79.0,0.11,158.0,0.18,158.0,0.18,0.0,0.0,0.0,0.0,80.4,0.1,80.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
03/01/2012,24.9,0.03,24.9,0.03,0.0,0.0,10.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,0.07,27.5,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.3,0.29,540.3,0.3,79.0,0.11,79.0,0.11,0.0,0.0,0.0,0.0,37.0,0.08,37.0,0.08,19.9,0.02,19.9,0.02,85.0,0.12,85.0,0.12,24.9,0.02,24.9,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
04/01/2012,13.5,0.02,13.5,0.02,138.2,0.15,138.2,0.15,89.0,0.17,89.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,0.15,275.0,0.15,0.0,0.0,0.0,0.0,25.0,0.03,25.0,0.03,0.0,0.0,0.0,0.0,53.3,0.04,53.3,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.01,11.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.07,36.0,0.07,0.0,0.0,0.0,0.0,,,,,,,,
05/01/2012,24.9,0.03,24.9,0.03,0.0,0.0,0.0,0.0,89.0,0.17,89.0,0.17,34.9,0.1,34.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.05,11.0,0.05,27.5,0.02,27.5,0.02,72.5,0.1,72.5,0.1,0.0,0.0,0.0,0.0,22.0,0.05,22.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.4,0.14,148.4,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,0.09,27.5,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,0.01,27.5,0.01,,,,
06/01/2012,24.9,0.03,24.9,0.03,90.0,0.1,90.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,0.04,24.9,0.04,113.9,0.46,113.9,0.46,405.0,0.23,405.0,0.23,50.9,0.07,50.9,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.06,79.0,0.06,17.8,0.03,17.8,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.05,17.5,0.05,24.9,0.05,24.9,0.05,0.0,0.0,0.0,0.0,266.2,0.05,266.2,0.05,,,,
07/01/2012,79.0,0.11,79.0,0.11,70.0,0.08,70.0,0.08,35.0,0.06,35.0,0.06,22.5,0.06,22.5,0.06,79.0,0.18,79.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.4,0.03,48.4,0.03,69.0,0.1,69.0,0.1,19.9,0.02,19.9,0.02,13.5,0.03,13.5,0.03,91.3,0.07,91.3,0.07,0.0,0.0,0.0,0.0,69.0,0.06,69.0,0.06,0.0,0.0,0.0,0.0,92.0,0.04,107.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.04,13.5,0.04,47.4,0.09,47.4,0.09,0.0,0.0,0.0,0.0,150.6,0.03,150.6,0.03,0.0,0.0,0.0,0.0
08/01/2012,24.9,0.03,24.9,0.03,79.8,0.09,79.8,0.09,79.0,0.14,79.0,0.14,27.5,0.07,27.5,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.09,46.0,0.09,57.4,0.05,57.4,0.05,94.9,0.14,94.9,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.01,25.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.1,0.03,167.1,0.03,0.0,0.0,0.0,0.0
09/01/2012,27.5,0.04,27.5,0.04,52.0,0.06,52.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,0.13,32.5,0.13,0.0,0.0,0.0,0.0,26.0,0.04,26.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.04,45.0,0.04,22.5,0.03,22.5,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.6,0.04,215.6,0.04,0.0,0.0,0.0,0.0
10/01/2012,27.5,0.04,27.5,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.22,90.0,0.22,14.9,0.03,14.9,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,0.02,43.5,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.9,0.09,49.9,0.09,217.8,0.18,217.8,0.18,0.0,0.0,0.0,0.0,17.5,0.01,27.5,0.02,0.0,0.0,0.0,0.0,45.0,0.02,45.0,0.02,0.0,0.0,0.0,0.0,24.9,0.04,24.9,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.4,0.05,287.4,0.05,0.0,0.0,0.0,0.0
