Date,REAL_7,REAL_7/SERV_7,VALOR_7,VALOR_7/SERV_7,REAL_14,REAL_14/SERV_14,VALOR_14,VALOR_14/SERV_14,REAL_45,REAL_45/SERV_45,VALOR_45,VALOR_45/SERV_45,REAL_38,REAL_38/SERV_38,VALOR_38,VALOR_38/SERV_38,REAL_28,REAL_28/SERV_28,VALOR_28,VALOR_28/SERV_28,REAL_29,REAL_29/SERV_29,VALOR_29,VALOR_29/SERV_29,REAL_30,REAL_30/SERV_30,VALOR_30,VALOR_30/SERV_30,REAL_31,REAL_31/SERV_31,VALOR_31,VALOR_31/SERV_31,REAL_46,REAL_46/SERV_46,VALOR_46,VALOR_46/SERV_46,REAL_33,REAL_33/SERV_33,VALOR_33,VALOR_33/SERV_33,REAL_8,REAL_8/SERV_8,VALOR_8,VALOR_8/SERV_8,REAL_34,REAL_34/SERV_34,VALOR_34,VALOR_34/SERV_34,REAL_35,REAL_35/SERV_35,VALOR_35,VALOR_35/SERV_35,REAL_37,REAL_37/SERV_37,VALOR_37,VALOR_37/SERV_37,REAL_47,REAL_47/SERV_47,VALOR_47,VALOR_47/SERV_47,REAL_39,REAL_39/SERV_39,VALOR_39,VALOR_39/SERV_39,REAL_48,REAL_48/SERV_48,VALOR_48,VALOR_48/SERV_48,REAL_40,REAL_40/SERV_40,VALOR_40,VALOR_40/SERV_40,REAL_42,REAL_42/SERV_42,VALOR_42,VALOR_42/SERV_42,REAL_1,REAL_1/SERV_1,VALOR_1,VALOR_1/SERV_1,REAL_44,REAL_44/SERV_44,VALOR_44,VALOR_44/SERV_44,REAL_49,REAL_49/SERV_49,VALOR_49,VALOR_49/SERV_49
01/01/2015,42.5,0.03,42.5,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.5,0.11,267.5,0.11,214.9,0.24,214.9,0.24,0.0,0.0,0.0,0.0,29.9,0.01,29.9,0.01,45.0,0.04,45.0,0.04,0.0,0.0,0.0,0.0,22.5,0.03,22.5,0.03,22.5,0.01,22.5,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,0.09,47.5,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2015,67.5,0.05,67.5,0.05,22.5,0.03,22.5,0.03,202.5,0.13,202.5,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.9,0.1,415.9,0.1,45.0,0.04,45.0,0.04,0.0,0.0,0.0,0.0,90.0,0.11,90.0,0.11,292.5,0.07,292.5,0.07,135.0,0.14,135.0,0.14,22.5,0.01,22.5,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.02,22.5,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/01/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.02,45.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.5,0.07,292.5,0.07,45.0,0.04,45.0,0.04,0.0,0.0,0.0,0.0,45.0,0.06,45.0,0.06,390.0,0.09,390.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.05,45.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/01/2015,217.4,0.13,217.4,0.13,45.0,0.05,45.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,0.09,375.0,0.09,90.0,0.08,90.0,0.08,0.0,0.0,0.0,0.0,45.0,0.06,45.0,0.06,132.5,0.03,132.5,0.03,45.0,0.05,45.0,0.05,330.0,0.18,330.0,0.18,0.0,0.0,0.0,0.0,214.8,0.13,214.8,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/01/2015,79.8,0.05,79.8,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.5,0.12,286.5,0.12,95.0,0.1,95.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.04,45.0,0.04,0.0,0.0,0.0,0.0,165.0,0.18,165.0,0.18,165.0,0.04,165.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/01/2015,218.9,0.14,218.9,0.14,0.0,0.0,0.0,0.0,24.9,0.02,24.9,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.8,0.09,364.8,0.09,69.8,0.06,69.8,0.06,0.0,0.0,0.0,0.0,24.9,0.03,24.9,0.03,388.7,0.09,388.7,0.09,225.0,0.23,225.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.4,0.06,62.4,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/01/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.01,19.9,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.8,0.02,89.8,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.8,0.09,358.8,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.05,85.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/01/2015,64.7,0.04,64.7,0.04,199.0,0.22,199.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.21,199.0,0.21,0.0,0.0,0.0,0.0,318.7,0.08,318.7,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.9,0.04,154.9,0.04,0.0,0.0,0.0,0.0,165.0,0.08,165.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.8,0.11,174.8,0.11,174.8,0.11,174.8,0.11
09/01/2015,127.3,0.08,127.3,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,0.01,27.5,0.01,55.0,0.06,55.0,0.06,0.0,0.0,0.0,0.0,625.0,0.15,625.0,0.15,49.9,0.04,49.9,0.04,0.0,0.0,0.0,0.0,104.9,0.12,104.9,0.12,628.0,0.15,628.0,0.15,0.0,0.0,0.0,0.0,149.0,0.07,149.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,0.08,39.9,0.08,49.9,0.05,49.9,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/01/2015,49.9,0.03,49.9,0.03,0.0,0.0,0.0,0.0,217.5,0.14,217.5,0.14,176.5,0.07,176.5,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,0.02,27.5,0.02,0.0,0.0,0.0,0.0,27.5,0.03,27.5,0.03,70.0,0.02,70.0,0.02,295.0,0.3,295.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
