Date,REAL_51,REAL_51/SERV_51,VALOR_51,VALOR_51/SERV_51,REAL_54,REAL_54/SERV_54,VALOR_54,VALOR_54/SERV_54,REAL_14,REAL_14/SERV_14,VALOR_14,VALOR_14/SERV_14,REAL_45,REAL_45/SERV_45,VALOR_45,VALOR_45/SERV_45,REAL_38,REAL_38/SERV_38,VALOR_38,VALOR_38/SERV_38,REAL_30,REAL_30/SERV_30,VALOR_30,VALOR_30/SERV_30,REAL_31,REAL_31/SERV_31,VALOR_31,VALOR_31/SERV_31,REAL_8,REAL_8/SERV_8,VALOR_8,VALOR_8/SERV_8,REAL_55,REAL_55/SERV_55,VALOR_55,VALOR_55/SERV_55,REAL_47,REAL_47/SERV_47,VALOR_47,VALOR_47/SERV_47,REAL_42,REAL_42/SERV_42,VALOR_42,VALOR_42/SERV_42,REAL_49,REAL_49/SERV_49,VALOR_49,VALOR_49/SERV_49,REAL_56,REAL_56/SERV_56,VALOR_56,VALOR_56/SERV_56
01/01/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.02,45.0,0.02,0.0,0.0,0.0,0.0,575.0,0.03,625.0,0.03,1145.0,0.03,1735.0,0.04,0.0,0.0,0.0,0.0,379.0,0.06,1229.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0,0.1,1215.0,0.1,7705.0,0.17,9685.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,198.0,0.03,998.0,0.18,998.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
03/01/2021,990.0,0.15,990.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,0.04,443.0,0.04,250.0,0.01,4630.0,0.1,199.0,0.03,699.0,0.1,400.0,0.06,1500.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
04/01/2021,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1515.0,0.12,1515.0,0.12,2390.0,0.05,2440.0,0.05,0.0,0.0,0.0,0.0,924.0,0.14,4774.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
05/01/2021,0.0,0.0,0.0,0.0,,,,,2250.0,0.9,2550.0,1.02,0.0,0.0,0.0,0.0,597.0,0.04,597.0,0.04,1444.0,0.03,9584.0,0.21,0.0,0.0,0.0,0.0,1395.0,0.21,1395.0,0.21,7740.0,0.99,7740.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
06/01/2021,3247.0,0.4,3247.0,0.4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10995.0,0.25,13746.0,0.31,398.0,0.06,2848.0,0.42,,,,,2250.0,0.29,2250.0,0.29,2250.0,0.75,2250.0,0.75,0.0,0.0,0.0,0.0,,,,,,,,
07/01/2021,14319.0,1.77,14319.0,1.77,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15965.0,0.36,16965.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
08/01/2021,4888.0,0.6,4888.0,0.6,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4045.0,0.29,4045.0,0.29,15205.0,0.34,15205.0,0.34,0.0,0.0,0.0,0.0,3853.0,0.37,3853.0,0.37,275.0,0.04,275.0,0.04,399.0,0.13,399.0,0.13,0.0,0.0,0.0,0.0,,,,,,,,
09/01/2021,3106.0,0.38,3838.0,0.47,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,0.04,651.0,0.05,8428.0,0.19,8672.0,0.19,0.0,0.0,0.0,0.0,150.0,0.01,272.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
10/01/2021,450.0,0.06,1080.0,0.13,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3909.0,0.2,3909.0,0.2,4148.0,0.09,4331.0,0.1,0.0,0.0,0.0,0.0,5864.0,0.57,5986.0,0.58,6098.0,0.58,6098.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
11/01/2021,0.0,0.0,185.0,0.02,,,,,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.02,0.0,0.0,100.0,0.01,7179.0,0.16,8134.0,0.18,0.0,0.0,130.0,0.02,0.0,0.0,280.0,0.03,5500.0,0.52,5565.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,195.0,0.07,8625.0,2.54,10174.0,2.99,,,,
12/01/2021,0.0,0.0,485.0,0.06,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1275.0,0.12,0.0,0.0,1130.0,0.06,1065.0,0.02,2340.0,0.05,0.0,0.0,150.0,0.02,0.0,0.0,465.0,0.05,8250.0,0.78,8250.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.03,0.0,0.0,0.0,0.0,,,,
