;;;;;;;;;;;;;;;;
;REAL_1;REAL_1/SERV_1;VALOR_1;VALOR_1/SERV_1;REAL_2;REAL_2/SERV_2;VALOR_2;VALOR_2/SERV_2;REAL_3;REAL_3/SERV_3;VALOR_3;VALOR_3/SERV_3;REAL_4;REAL_4/SERV_4;VALOR_4;VALOR_4/SERV_4
01/01/2003;18,65;0,07;31,95;0,13;;;;;11,00;0,04;18,00;0,06;;;;
02/01/2003;5,90;0,02;5,90;0,02;;;;;7,40;0,02;33,80;0,11;;;;
03/01/2003;0,00;0,00;12,00;0,05;;;;;0,00;0,00;56,70;0,19;;;;
04/01/2003;0,00;0,00;10,60;0,04;;;;;0,00;0,00;5,90;0,02;;;;
05/01/2003;0,00;0,00;5,90;0,02;28,20;1,07;45,20;1,72;0,00;0,00;12,70;0,04;0,00;0,00;0,00;0,00
06/01/2003;3,90;0,02;8,20;0,03;6,90;0,08;9,80;0,11;0,00;0,00;10,40;0,03;0,00;0,00;0,00;0,00
07/01/2003;0,00;0,00;24,90;0,10;6,90;0,08;15,40;0,18;8,50;0,03;8,50;0,03;0,00;0,00;0,00;0,00
08/01/2003;0,00;0,00;13,80;0,06;0,00;0,00;0,00;0,00;0,00;0,00;9,70;0,03;0,00;0,00;0,00;0,00
09/01/2003;0,00;0,00;1,50;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10/01/2003;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,90;0,05;0,00;0,00;20,40;0,13
11/01/2003;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,95;0,01;4,95;0,02;0,00;0,00;0,00;0,00
12/01/2003;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,80;0,08;26,70;0,09;0,00;0,00;12,75;0,08
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
