;REAL_1;REAL_1/SERV_1;VALOR_1;VALOR_1/SERV_1;REAL_2;REAL_2/SERV_2;VALOR_2;VALOR_2/SERV_2;REAL_3;REAL_3/SERV_3;VALOR_3;VALOR_3/SERV_3;REAL_4;REAL_4/SERV_4;VALOR_4;VALOR_4/SERV_4;REAL_6;REAL_6/SERV_6;VALOR_6;VALOR_6/SERV_6;REAL_7;REAL_7/SERV_7;VALOR_7;VALOR_7/SERV_7;REAL_8;REAL_8/SERV_8;VALOR_8;VALOR_8/SERV_8;REAL_9;REAL_9/SERV_9;VALOR_9;VALOR_9/SERV_9;REAL_10;REAL_10/SERV_10;VALOR_10;VALOR_10/SERV_10;REAL_11;REAL_11/SERV_11;VALOR_11;VALOR_11/SERV_11;REAL_12;REAL_12/SERV_12;VALOR_12;VALOR_12/SERV_12
01/01/2004;8,50;0,02;8,50;0,02;0,00;0,00;5,00;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,05;33,00;0,32;25,30;0,08;35,30;0,12;15,87;0,04;15,87;0,04;;;;;;;;;;;;;;;;
02/01/2004;0,00;0,00;30,00;0,08;6,50;0,10;6,50;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,90;0,00;0,90;0,00;;;;;;;;;;;;;;;;
03/01/2004;23,00;0,06;38,00;0,10;0,00;0,00;10,00;0,16;28,00;0,09;32,50;0,11;0,00;0,00;0,00;0,00;46,50;0,45;46,50;0,45;20,40;0,07;24,40;0,08;13,40;0,03;13,40;0,03;;;;;;;;;;;;;;;;
04/01/2004;0,00;0,00;6,50;0,02;1,75;0,03;1,75;0,03;0,00;0,00;0,00;0,00;0,00;0,00;11,40;0,07;10,50;0,10;20,50;0,20;18,00;0,06;24,50;0,08;15,40;0,04;15,40;0,04;;;;;;;;;;;;;;;;
05/01/2004;35,70;0,10;35,70;0,10;0,00;0,00;5,00;0,08;0,00;0,00;5,50;0,02;0,00;0,00;7,60;0,05;0,00;0,00;6,50;0,06;0,00;0,00;12,00;0,04;0,00;0,00;0,00;0,00;16,00;0,10;16,00;0,10;0,00;0,00;0,00;0,00;;;;;;;;
06/01/2004;30,00;0,08;36,00;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,40;0,13;20,40;0,20;121,50;0,40;126,50;0,42;0,00;0,00;0,00;0,00;38,00;0,25;38,00;0,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;
07/01/2004;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,08;12,00;0,04;12,00;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,60;0,02;4,60;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;
08/01/2004;119,00;0,32;123,00;0,33;55,50;0,90;55,50;0,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,50;0,07;7,50;0,07;17,50;0,06;25,00;0,08;38,20;0,10;43,20;0,11;11,00;0,07;11,00;0,07;0,00;0,00;0,00;0,00;13,85;0,02;13,85;0,02;;;;
09/01/2004;5,50;0,01;5,50;0,01;4,00;0,06;4,00;0,06;0,00;0,00;0,00;0,00;14,85;0,09;14,85;0,09;0,00;0,00;10,00;0,10;10,00;0,03;10,00;0,03;0,00;0,00;0,00;0,00;34,50;0,23;34,50;0,23;2,90;0,01;2,90;0,01;35,80;0,06;35,80;0,06;;;;
10/01/2004;0,00;0,00;0,00;0,00;12,00;0,19;12,00;0,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;35,50;0,34;35,50;0,34;57,80;0,19;57,80;0,19;1,95;0,00;1,95;0,00;37,50;0,25;37,50;0,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;
11/01/2004;17,50;0,05;17,50;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,30;0,09;27,30;0,09;15,70;0,04;15,70;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;0,03;20,00;0,03;;;;
12/01/2004;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,10;29,20;0,10;40,20;0,13;6,90;0,02;6,90;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,02;10,00;0,02;0,00;0,00;0,00;0,00
