;REAL_1;REAL_1/SERV_1;VALOR_1;VALOR_1/SERV_1;REAL_3;REAL_3/SERV_3;VALOR_3;VALOR_3/SERV_3;REAL_7;REAL_7/SERV_7;VALOR_7;VALOR_7/SERV_7;REAL_8;REAL_8/SERV_8;VALOR_8;VALOR_8/SERV_8;REAL_10;REAL_10/SERV_10;VALOR_10;VALOR_10/SERV_10;REAL_11;REAL_11/SERV_11;VALOR_11;VALOR_11/SERV_11;REAL_12;REAL_12/SERV_12;VALOR_12;VALOR_12/SERV_12;REAL_13;REAL_13/SERV_13;VALOR_13;VALOR_13/SERV_13;REAL_14;REAL_14/SERV_14;VALOR_14;VALOR_14/SERV_14;REAL_15;REAL_15/SERV_15;VALOR_15;VALOR_15/SERV_15;REAL_16;REAL_16/SERV_16;VALOR_16;VALOR_16/SERV_16;REAL_17;REAL_17/SERV_17;VALOR_17;VALOR_17/SERV_17;REAL_18;REAL_18/SERV_18;VALOR_18;VALOR_18/SERV_18;REAL_19;REAL_19/SERV_19;VALOR_19;VALOR_19/SERV_19
01/01/2007;318,30;0,48;337,80;0,51;23,00;0,06;23,00;0,06;16,90;0,06;16,90;0,06;57,80;0,14;57,80;0,14;38,00;0,11;38,00;0,11;60,00;0,08;60,00;0,08;16,10;0,06;16,10;0,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/01/2007;71,50;0,11;81,50;0,12;0,00;0,00;0,00;0,00;18,00;0,06;18,00;0,06;0,00;0,00;0,00;0,00;92,00;0,25;92,00;0,25;116,00;0,15;116,00;0,15;18,95;0,07;18,95;0,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/01/2007;34,90;0,05;34,90;0,05;8,70;0,02;8,70;0,02;75,00;0,25;75,00;0,25;43,50;0,11;43,50;0,11;0,00;0,00;0,00;0,00;60,50;0,08;80,50;0,10;22,10;0,08;22,10;0,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/01/2007;41,90;0,06;41,90;0,06;0,00;0,00;0,00;0,00;5,75;0,02;5,75;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;0,05;22,00;0,05;7,90;0,02;7,90;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
05/01/2007;109,30;0,17;109,30;0,17;0,00;0,00;0,00;0,00;43,00;0,14;43,00;0,14;5,90;0,01;5,90;0,01;18,00;0,04;18,00;0,04;18,00;0,02;18,00;0,02;95,80;0,37;95,80;0,37;64,00;0,14;64,00;0,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;0,13;20,00;0,13;;;;;;;;
06/01/2007;80,00;0,12;80,00;0,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;60,90;0,13;60,90;0,13;103,50;0,13;103,50;0,13;12,00;0,04;12,00;0,04;25,00;0,06;25,00;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
07/01/2007;188,90;0,29;188,90;0,29;11,40;0,03;11,40;0,03;49,60;0,16;49,60;0,16;37,40;0,09;37,40;0,09;12,50;0,03;12,50;0,03;93,50;0,12;93,50;0,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,50;0,04;12,50;0,04;29,70;0,09;29,70;0,09;9,90;0,07;9,90;0,07;40,00;0,06;40,00;0,06;0,00;0,00;0,00;0,00
08/01/2007;95,20;0,14;95,20;0,14;0,00;0,00;0,00;0,00;64,20;0,21;64,20;0,21;35,80;0,09;35,80;0,09;55,00;0,12;55,00;0,12;84,00;0,11;84,00;0,11;16,40;0,05;16,40;0,05;42,90;0,10;42,90;0,10;0,00;0,00;0,00;0,00;7,90;0,02;7,90;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;53,70;0,05;53,70;0,05;0,00;0,00;0,00;0,00
09/01/2007;134,20;0,20;134,20;0,20;0,00;0,00;0,00;0,00;5,85;0,02;5,85;0,02;13,40;0,03;13,40;0,03;84,00;0,18;84,00;0,18;228,10;0,29;228,10;0,29;12,80;0,04;12,80;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;0,06;20,00;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30,00;0,03;30,00;0,03;0,00;0,00;0,00;0,00
10/01/2007;14,90;0,02;39,90;0,06;20,50;0,06;20,50;0,06;0,00;0,00;0,00;0,00;6,40;0,02;6,40;0,02;29,80;0,06;29,80;0,06;59,60;0,08;59,60;0,08;59,60;0,18;59,60;0,18;27,80;0,06;27,80;0,06;0,00;0,00;0,00;0,00;12,10;0,04;12,10;0,04;21,90;0,07;21,90;0,07;9,90;0,07;9,90;0,07;16,70;0,02;16,70;0,02;0,00;0,00;0,00;0,00
