;REAL_1;REAL_1/SERV_1;VALOR_1;VALOR_1/SERV_1;REAL_3;REAL_3/SERV_3;VALOR_3;VALOR_3/SERV_3;REAL_7;REAL_7/SERV_7;VALOR_7;VALOR_7/SERV_7;REAL_8;REAL_8/SERV_8;VALOR_8;VALOR_8/SERV_8;REAL_10;REAL_10/SERV_10;VALOR_10;VALOR_10/SERV_10;REAL_11;REAL_11/SERV_11;VALOR_11;VALOR_11/SERV_11;REAL_12;REAL_12/SERV_12;VALOR_12;VALOR_12/SERV_12;REAL_13;REAL_13/SERV_13;VALOR_13;VALOR_13/SERV_13;REAL_14;REAL_14/SERV_14;VALOR_14;VALOR_14/SERV_14;REAL_15;REAL_15/SERV_15;VALOR_15;VALOR_15/SERV_15;REAL_16;REAL_16/SERV_16;VALOR_16;VALOR_16/SERV_16;REAL_17;REAL_17/SERV_17;VALOR_17;VALOR_17/SERV_17;REAL_18;REAL_18/SERV_18;VALOR_18;VALOR_18/SERV_18;REAL_19;REAL_19/SERV_19;VALOR_19;VALOR_19/SERV_19;REAL_20;REAL_20/SERV_20;VALOR_20;VALOR_20/SERV_20;REAL_21;REAL_21/SERV_21;VALOR_21;VALOR_21/SERV_21;REAL_22;REAL_22/SERV_22;VALOR_22;VALOR_22/SERV_22;REAL_23;REAL_23/SERV_23;VALOR_23;VALOR_23/SERV_23;REAL_24;REAL_24/SERV_24;VALOR_24;VALOR_24/SERV_24;REAL_25;REAL_25/SERV_25;VALOR_25;VALOR_25/SERV_25
01/01/2008;147,80;0,22;153,80;0,23;58,70;0,14;58,70;0,14;0,00;0,00;16,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;72,00;0,09;72,00;0,09;14,35;0,03;22,35;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,65;0,02;18,65;0,02;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;
02/01/2008;99,10;0,15;99,10;0,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,50;0,02;0,00;0,00;0,00;0,00;20,90;0,03;20,90;0,03;0,00;0,00;0,00;0,00;44,60;0,09;44,60;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,90;0,06;9,90;0,06;48,15;0,05;48,15;0,05;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;
03/01/2008;0,00;0,00;0,00;0,00;17,50;0,04;17,50;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,90;0,02;9,90;0,02;19,80;0,05;24,30;0,06;34,90;0,07;34,90;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;
04/01/2008;142,00;0,21;145,00;0,22;34,90;0,08;34,90;0,08;89,50;0,16;89,50;0,16;25,50;0,06;25,50;0,06;0,00;0,00;0,00;0,00;157,50;0,27;157,50;0,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,95;0,01;1,95;0,01;18,30;0,02;18,30;0,02;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;
05/01/2008;84,70;0,13;88,20;0,13;34,90;0,08;34,90;0,08;34,90;0,06;34,90;0,06;0,00;0,00;0,00;0,00;35,00;0,11;35,00;0,11;222,50;0,38;222,50;0,38;90,70;0,22;90,70;0,22;69,80;0,14;69,80;0,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;
06/01/2008;5,50;0,01;5,50;0,01;28,50;0,07;28,50;0,07;0,00;0,00;0,00;0,00;34,90;0,09;34,90;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;
07/01/2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,30;0,03;18,30;0,03;0,00;0,00;0,00;0,00;5,50;0,02;5,50;0,02;;;;;22,00;0,05;22,00;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;62,40;0,16;62,40;0,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
08/01/2008;5,90;0,01;5,90;0,01;0,00;0,00;0,00;0,00;9,90;0,02;9,90;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;70,80;0,17;70,80;0,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;4,50;0,02;4,50;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,90;0,04;8,90;0,04;4,90;0,02;4,90;0,02
09/01/2008;117,50;0,18;117,50;0,18;57,40;0,12;57,40;0,12;125,70;0,22;125,70;0,22;0,00;0,00;0,00;0,00;90,00;0,27;90,00;0,27;;;;;29,90;0,07;29,90;0,07;39,90;0,07;39,90;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,40;0,08;32,40;0,08;;;;;;;;;;;;;113,60;0,53;113,60;0,53;14,40;0,03;14,40;0,03;0,00;0,00;0,00;0,00;22,00;0,07;22,00;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10/01/2008;0,00;0,00;0,00;0,00;23,40;0,05;23,40;0,05;89,30;0,16;134,00;0,23;2,75;0,01;2,75;0,01;0,00;0,00;0,00;0,00;;;;;35,00;0,08;35,00;0,08;0,00;0,00;11,00;0,02;0,00;0,00;0,00;0,00;35,00;0,10;35,00;0,10;0,00;0,00;17,50;0,05;;;;;;;;;;;;;0,00;0,00;0,00;0,00;32,90;0,08;32,90;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,40;0,06;15,40;0,06
11/01/2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;65,30;0,11;137,00;0,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;110,90;0,27;110,90;0,27;87,30;0,16;98,30;0,18;15,50;0,04;15,50;0,04;0,00;0,00;14,90;0,04;60,50;0,16;60,50;0,16;;;;;;;;;;;;;14,90;0,07;14,90;0,07;11,00;0,03;11,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,90;0,02;3,90;0,02;0,00;0,00;0,00;0,00
12/01/2008;0,00;0,00;0,00;0,00;26,90;0,06;26,90;0,06;42,00;0,07;42,00;0,07;17,50;0,04;20,00;0,05;0,00;0,00;0,00;0,00;;;;;22,00;0,05;22,00;0,05;0,00;0,00;0,00;0,00;9,90;0,03;9,90;0,03;31,80;0,09;31,80;0,09;9,90;0,03;9,90;0,03;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,40;0,07;15,40;0,07;0,00;0,00;0,00;0,00
