;REAL_1;REAL_1/SERV_1;VALOR_1;VALOR_1/SERV_1;REAL_3;REAL_3/SERV_3;VALOR_3;VALOR_3/SERV_3;REAL_7;REAL_7/SERV_7;VALOR_7;VALOR_7/SERV_7;REAL_8;REAL_8/SERV_8;VALOR_8;VALOR_8/SERV_8;REAL_10;REAL_10/SERV_10;VALOR_10;VALOR_10/SERV_10;REAL_12;REAL_12/SERV_12;VALOR_12;VALOR_12/SERV_12;REAL_13;REAL_13/SERV_13;VALOR_13;VALOR_13/SERV_13;REAL_14;REAL_14/SERV_14;VALOR_14;VALOR_14/SERV_14;REAL_15;REAL_15/SERV_15;VALOR_15;VALOR_15/SERV_15;REAL_16;REAL_16/SERV_16;VALOR_16;VALOR_16/SERV_16;REAL_20;REAL_20/SERV_20;VALOR_20;VALOR_20/SERV_20;REAL_21;REAL_21/SERV_21;VALOR_21;VALOR_21/SERV_21;REAL_22;REAL_22/SERV_22;VALOR_22;VALOR_22/SERV_22;REAL_23;REAL_23/SERV_23;VALOR_23;VALOR_23/SERV_23;REAL_24;REAL_24/SERV_24;VALOR_24;VALOR_24/SERV_24;REAL_25;REAL_25/SERV_25;VALOR_25;VALOR_25/SERV_25;REAL_26;REAL_26/SERV_26;VALOR_26;VALOR_26/SERV_26;REAL_27;REAL_27/SERV_27;VALOR_27;VALOR_27/SERV_27;REAL_28;REAL_28/SERV_28;VALOR_28;VALOR_28/SERV_28;REAL_29;REAL_29/SERV_29;VALOR_29;VALOR_29/SERV_29;REAL_30;REAL_30/SERV_30;VALOR_30;VALOR_30/SERV_30;REAL_31;REAL_31/SERV_31;VALOR_31;VALOR_31/SERV_31
01/01/2009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;187,10;0,33;187,10;0,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,50;0,06;23,50;0,06;28,50;0,05;28,50;0,05;9,90;0,03;9,90;0,03;0,00;0,00;0,00;0,00;57,50;0,15;57,50;0,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,05;11,00;0,05;9,90;0,04;9,90;0,04;;;;;;;;;;;;;;;;;;;;;;;;
02/01/2009;0,00;0,00;0,00;0,00;64,40;0,13;64,40;0,13;49,20;0,09;49,20;0,09;41,40;0,10;41,40;0,10;5,90;0,02;5,90;0,02;17,50;0,04;17,50;0,04;39,90;0,07;39,90;0,07;59,00;0,15;59,00;0,15;14,90;0,04;14,90;0,04;0,00;0,00;0,00;0,00;17,50;0,08;17,50;0,08;9,90;0,02;9,90;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;
03/01/2009;;;;;0,00;0,00;11,00;0,02;26,80;0,05;26,80;0,05;50,90;0,25;64,90;0,32;;;;;0,00;0,00;0,00;0,00;17,50;0,03;17,50;0,03;0,00;0,00;0,00;0,00;17,50;0,05;17,50;0,05;0,00;0,00;0,00;0,00;4,90;0,02;4,90;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;
04/01/2009;;;;;0,00;0,00;0,00;0,00;38,40;0,07;38,40;0,07;;;;;;;;;0,00;0,00;0,00;0,00;39,80;0,07;39,80;0,07;52,50;0,13;52,50;0,13;0,00;0,00;0,00;0,00;11,00;0,03;11,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;
05/01/2009;;;;;127,40;0,27;127,40;0,27;0,00;0,00;0,00;0,00;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,03;0,00;0,00;0,00;0,00;4,50;0,02;4,50;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;
06/01/2009;;;;;0,00;0,00;0,00;0,00;44,70;0,08;44,70;0,08;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,03;4,90;0,01;4,90;0,01;19,90;0,09;19,90;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;
07/01/2009;;;;;0,00;0,00;0,00;0,00;4,50;0,01;13,50;0,02;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;
08/01/2009;;;;;0,00;0,00;11,00;0,02;50,90;0,09;50,90;0,09;;;;;;;;;39,00;0,09;83,00;0,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;
09/01/2009;;;;;0,00;0,00;0,00;0,00;141,30;0,25;141,30;0,25;;;;;;;;;39,00;0,09;39,00;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,50;0,02;22,00;0,05;22,00;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;39,90;0,44;39,90;0,44;;;;;;;;
10/01/2009;;;;;0,00;0,00;0,00;0,00;39,90;0,07;39,90;0,07;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;101,40;0,26;101,40;0,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,50;0,07;12,50;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
