;REAL_3;REAL_3/SERV_3;VALOR_3;VALOR_3/SERV_3;REAL_7;REAL_7/SERV_7;VALOR_7;VALOR_7/SERV_7;REAL_12;REAL_12/SERV_12;VALOR_12;VALOR_12/SERV_12;REAL_13;REAL_13/SERV_13;VALOR_13;VALOR_13/SERV_13;REAL_14;REAL_14/SERV_14;VALOR_14;VALOR_14/SERV_14;REAL_15;REAL_15/SERV_15;VALOR_15;VALOR_15/SERV_15;REAL_16;REAL_16/SERV_16;VALOR_16;VALOR_16/SERV_16;REAL_20;REAL_20/SERV_20;VALOR_20;VALOR_20/SERV_20;REAL_21;REAL_21/SERV_21;VALOR_21;VALOR_21/SERV_21;REAL_22;REAL_22/SERV_22;VALOR_22;VALOR_22/SERV_22;REAL_23;REAL_23/SERV_23;VALOR_23;VALOR_23/SERV_23;REAL_24;REAL_24/SERV_24;VALOR_24;VALOR_24/SERV_24;REAL_25;REAL_25/SERV_25;VALOR_25;VALOR_25/SERV_25;REAL_26;REAL_26/SERV_26;VALOR_26;VALOR_26/SERV_26;REAL_27;REAL_27/SERV_27;VALOR_27;VALOR_27/SERV_27;REAL_28;REAL_28/SERV_28;VALOR_28;VALOR_28/SERV_28;REAL_29;REAL_29/SERV_29;VALOR_29;VALOR_29/SERV_29;REAL_30;REAL_30/SERV_30;VALOR_30;VALOR_30/SERV_30;REAL_31;REAL_31/SERV_31;VALOR_31;VALOR_31/SERV_31;REAL_32;REAL_32/SERV_32;VALOR_32;VALOR_32/SERV_32;REAL_33;REAL_33/SERV_33;VALOR_33;VALOR_33/SERV_33;REAL_8;REAL_8/SERV_8;VALOR_8;VALOR_8/SERV_8;REAL_34;REAL_34/SERV_34;VALOR_34;VALOR_34/SERV_34;REAL_35;REAL_35/SERV_35;VALOR_35;VALOR_35/SERV_35
01/01/2010;0;0%;0;0%;172,9;30%;172,9;30%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;39,5;11%;39,5;11%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;49;18%;49;18%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;92,4;6%;92,4;6%;49;10%;49;10%;75;10%;75;10%;;;;;;;;;;;;;;;;
02/01/2010;0;0%;0;0%;0;0%;0;0%;49;12%;49;12%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;66,3;5%;66,3;5%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;;;;;;;;;;;;
03/01/2010;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;39,8;7%;39,8;7%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;4,9;2%;4,9;2%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;6,5;3%;6,5;3%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;110;29%;110;29%;0;0%;0;0%;17,5;1%;17,5;1%;22,5;5%;22,5;5%;51,2;7%;51,2;7%;0;0%;0;0%;;;;;;;;;;;;
04/01/2010;189,8;34%;189,8;34%;0;0%;0;0%;0;0%;0;0%;22,5;4%;22,5;4%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;11;3%;11;3%;0;0%;0;0%;94,7;7%;94,7;7%;52,4;11%;52,4;11%;17,5;2%;17,5;2%;0;0%;0;0%;165;50%;165;50%;;;;;;;;
05/01/2010;0;0%;0;0%;224,9;30%;224,9;30%;;;;;0;0%;0;0%;0;0%;0;0%;;;;;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;14,9;4%;14,9;4%;0;0%;0;0%;83,7;6%;83,7;6%;14,9;3%;14,9;3%;19,25;3%;19,25;3%;0;0%;0;0%;49,9;6%;49,9;6%;;;;;;;;
06/01/2010;110;20%;110;20%;0;0%;0;0%;;;;;0;0%;0;0%;0;0%;0;0%;;;;;12,5;3%;12,5;3%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;14,9;1%;14,9;1%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;31,4;4%;31,4;4%;;;;;;;;
07/01/2010;0;0%;0;0%;31;4%;31;4%;;;;;0;0%;0;0%;65;15%;65;15%;;;;;52,4;13%;52,4;13%;;;;;;;;;;;;;;;;;;;;;;;;;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;96,9;7%;96,9;7%;0;0%;0;0%;0;0%;0;0%;12,5;3%;12,5;3%;37,8;5%;37,8;5%;;;;;;;;
08/01/2010;0;0%;0;0%;34,9;5%;34,9;5%;;;;;34,9;6%;34,9;6%;110;25%;110;25%;;;;;0;0%;0;0%;;;;;;;;;;;;;;;;;;;;;;;;;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;13,5;1%;13,5;1%;55;11%;55;11%;0;0%;0;0%;0;0%;0;0%;132,2;16%;132,2;16%;;;;;;;;
09/01/2010;0;0%;0;0%;49,9;7%;49,9;7%;;;;;0;0%;0;0%;0;0%;0;0%;;;;;0;0%;0;0%;;;;;;;;;;;;;;;;;;;;;;;;;12,5;4%;12,5;4%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;102,1;7%;102,1;7%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;49,9;6%;49,9;6%;;;;;;;;
10/01/2010;0;0%;0;0%;0;0%;0;0%;;;;;0;0%;0;0%;0;0%;0;0%;;;;;0;0%;0;0%;;;;;;;;;;;;;;;;;;;;;;;;;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;83,9;6%;83,9;6%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;25;3%;25;3%;;;;;;;;
11/01/2010;0;0%;0;0%;28;4%;28;4%;;;;;0;0%;0;0%;24,9;5%;24,9;5%;;;;;99,6;23%;99,6;23%;;;;;;;;;;;;;;;;;;;;;;;;;0;0%;0;0%;59;18%;59;18%;29,9;7%;29,9;7%;0;0%;0;0%;173,7;11%;173,7;11%;24,9;5%;24,9;5%;0;0%;0;0%;39,9;10%;39,9;10%;24,9;3%;24,9;3%;24,9;4%;24,9;4%;242;31%;242;31%
12/01/2010;0;0%;0;0%;234,65;32%;234,65;32%;;;;;0;0%;0;0%;0;0%;0;0%;;;;;0;0%;0;0%;;;;;;;;;;;;;;;;;;;;;;;;;22,5;7%;22,5;7%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;26;2%;26;2%;59;12%;59;12%;146,7;20%;146,7;20%;45;11%;45;11%;45;5%;45;5%;12,5;2%;12,5;2%;113,9;15%;113,9;15%
