;REAL_3;REAL_3/SERV_3;VALOR_3;VALOR_3/SERV_3;REAL_7;REAL_7/SERV_7;VALOR_7;VALOR_7/SERV_7;REAL_14;REAL_14/SERV_14;VALOR_14;VALOR_14/SERV_14;REAL_26;REAL_26/SERV_26;VALOR_26;VALOR_26/SERV_26;REAL_27;REAL_27/SERV_27;VALOR_27;VALOR_27/SERV_27;REAL_28;REAL_28/SERV_28;VALOR_28;VALOR_28/SERV_28;REAL_29;REAL_29/SERV_29;VALOR_29;VALOR_29/SERV_29;REAL_30;REAL_30/SERV_30;VALOR_30;VALOR_30/SERV_30;REAL_31;REAL_31/SERV_31;VALOR_31;VALOR_31/SERV_31;REAL_32;REAL_32/SERV_32;VALOR_32;VALOR_32/SERV_32;REAL_33;REAL_33/SERV_33;VALOR_33;VALOR_33/SERV_33;REAL_8;REAL_8/SERV_8;VALOR_8;VALOR_8/SERV_8;REAL_34;REAL_34/SERV_34;VALOR_34;VALOR_34/SERV_34;REAL_35;REAL_35/SERV_35;VALOR_35;VALOR_35/SERV_35;REAL_37;REAL_37/SERV_37;VALOR_37;VALOR_37/SERV_37;REAL_38;REAL_38/SERV_38;VALOR_38;VALOR_38/SERV_38;REAL_39;REAL_39/SERV_39;VALOR_39;VALOR_39/SERV_39;REAL_41;REAL_41/SERV_41;VALOR_41;VALOR_41/SERV_41;REAL_40;REAL_40/SERV_40;VALOR_40;VALOR_40/SERV_40;REAL_42;REAL_42/SERV_42;VALOR_42;VALOR_42/SERV_42;REAL_1;REAL_1/SERV_1;VALOR_1;VALOR_1/SERV_1;REAL_44;REAL_44/SERV_44;VALOR_44;VALOR_44/SERV_44
01/01/2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;116,50;0,19;116,50;0,19;0,00;0,00;0,00;0,00;263,00;0,11;263,00;0,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;102,90;0,08;102,90;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;48,90;0,06;48,90;0,06;22,50;0,01;22,50;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;129,70;0,02;129,70;0,02;0,00;0,00;0,00;0,00
02/01/2013;29,90;0,03;29,90;0,03;19,90;0,02;19,90;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;85,00;0,14;85,00;0,14;0,00;0,00;0,00;0,00;61,90;0,03;61,90;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;102,40;0,18;102,40;0,18;0,00;0,00;0,00;0,00;184,00;0,20;184,00;0,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;62,50;0,01;62,50;0,01;0,00;0,00;0,00;0,00
03/01/2013;0,00;0,00;0,00;0,00;227,20;0,21;227,20;0,21;19,50;0,03;19,50;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;99,80;0,16;99,80;0,16;0,00;0,00;0,00;0,00;64,80;0,03;64,80;0,03;0,00;0,00;0,00;0,00;0,00;0,00;70,00;0,08;138,90;0,24;138,90;0,24;102,00;0,07;102,00;0,07;29,90;0,03;29,90;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;108,50;0,04;108,50;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;397,00;0,08;397,00;0,08;0,00;0,00;0,00;0,00
04/01/2013;29,90;0,03;29,90;0,03;41,90;0,04;41,90;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;129,50;0,06;129,50;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;63,20;0,03;63,20;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,90;0,05;19,90;0,05;103,90;0,13;103,90;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;49,90;0,01;49,90;0,01;0,00;0,00;0,00;0,00
05/01/2013;45,90;0,05;45,90;0,05;54,80;0,05;54,80;0,05;11,00;0,02;11,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;46,00;0,07;46,00;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,50;0,01;13,50;0,01;0,00;0,00;0,00;0,00;89,00;0,14;89,00;0,16;89,00;0,05;89,00;0,05;32,50;0,04;32,50;0,04;0,00;0,00;0,00;0,00;88,90;0,10;88,90;0,10;27,00;0,01;27,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,40;0,01;32,40;0,01;0,00;0,00;0,00;0,00
06/01/2013;0,00;0,00;0,00;0,00;13,50;0,01;13,50;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;62,60;0,07;62,60;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,90;0,03;24,90;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;64,50;0,02;64,50;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,50;0,00;19,50;0,00;0,00;0,00;0,00;0,00
07/01/2013;158,90;0,18;158,90;0,18;124,80;0,11;124,80;0,11;99,00;0,14;99,00;0,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;0,07;22,00;0,07;60,80;0,03;60,80;0,03;0,00;0,00;0,00;0,00;19,90;0,04;19,90;0,04;0,00;0,00;0,00;0,00;29,80;0,02;29,80;0,02;25,90;0,03;25,90;0,03;0,00;0,00;0,00;0,00;11,00;0,01;11,00;0,01;324,90;0,13;324,90;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,80;0,01;29,80;0,01;0,00;0,00;0,00;0,00
08/01/2013;99,00;0,11;99,00;0,11;90,60;0,08;90,60;0,08;0,00;0,00;0,00;0,00;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,90;0,01;14,90;0,01;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;62,80;0,03;62,80;0,03;14,90;0,02;14,90;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;65,80;0,03;65,80;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;59,80;0,01;59,80;0,01;0,00;0,00;0,00;0,00
09/01/2013;0,00;0,00;0,00;0,00;52,30;0,05;52,30;0,05;0,00;0,00;0,00;0,00;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;59,60;0,03;59,60;0,03;214,30;0,24;214,30;0,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;110,00;0,04;110,00;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;79,60;0,02;79,60;0,02;0,00;0,00;0,00;0,00
10/01/2013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;49,80;0,08;49,80;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,90;0,02;29,90;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;124,50;0,02;124,50;0,02;0,00;0,00;0,00;0,00
11/01/2013;29,80;0,03;29,80;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;0,00;0,00;0,00;0,00;19,60;0,06;19,60;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;14,90;0,02;14,90;0,02;331,90;0,18;331,90;0,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;144,30;0,03;144,30;0,03;110,00;0,08;110,00;0,08
12/01/2013;0,00;0,00;0,00;0,00;29,80;0,03;29,80;0,03;0,00;0,00;0,00;0,00;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;209,00;0,23;209,00;0,23;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;49,90;0,01;49,90;0,01;0,00;0,00;0,00;0,00
