;REAL_7;REAL_7/SERV_7;VALOR_7;VALOR_7/SERV_7;REAL_14;REAL_14/SERV_14;VALOR_14;VALOR_14/SERV_14;REAL_45;REAL_45/SERV_45;VALOR_45;VALOR_45/SERV_45;REAL_38;REAL_38/SERV_38;VALOR_38;VALOR_38/SERV_38;REAL_28;REAL_28/SERV_28;VALOR_28;VALOR_28/SERV_28;REAL_29;REAL_29/SERV_29;VALOR_29;VALOR_29/SERV_29;REAL_30;REAL_30/SERV_30;VALOR_30;VALOR_30/SERV_30;REAL_31;REAL_31/SERV_31;VALOR_31;VALOR_31/SERV_31;REAL_46;REAL_46/SERV_46;VALOR_46;VALOR_46/SERV_46;REAL_33;REAL_33/SERV_33;VALOR_33;VALOR_33/SERV_33;REAL_8;REAL_8/SERV_8;VALOR_8;VALOR_8/SERV_8;REAL_34;REAL_34/SERV_34;VALOR_34;VALOR_34/SERV_34;REAL_35;REAL_35/SERV_35;VALOR_35;VALOR_35/SERV_35;REAL_37;REAL_37/SERV_37;VALOR_37;VALOR_37/SERV_37;REAL_47;REAL_47/SERV_47;VALOR_47;VALOR_47/SERV_47;REAL_39;REAL_39/SERV_39;VALOR_39;VALOR_39/SERV_39;REAL_40;REAL_40/SERV_40;VALOR_40;VALOR_40/SERV_40;REAL_42;REAL_42/SERV_42;VALOR_42;VALOR_42/SERV_42;REAL_1;REAL_1/SERV_1;VALOR_1;VALOR_1/SERV_1;REAL_44;REAL_44/SERV_44;VALOR_44;VALOR_44/SERV_44;REAL_49;REAL_49/SERV_49;VALOR_49;VALOR_49/SERV_49
01/01/2016;973,8;0,6;973,8;0,6;0;0;0;0;0;0;0;0;112,5;0,05;112,5;0,05;54,8;0,05;54,8;0,05;0;0;0;0;1509,8;0,27;1509,8;0,27;0;0;0;0;0;0;0;0;49,9;0,05;49,9;0,05;450;0,11;450;0,11;69,8;0,07;69,8;0,07;397;0,17;397;0,17;0;0;0;0;;;;;0;0;0;0;0;0;200;0,35;0;0;0;0;0;0;0;0;0;0;0;0;225;0,35;225;0,35
02/01/2016;97,3;0,06;97,3;0,06;0;0;0;0;199,6;0,1;199,6;0,1;0;0;0;0;198;0,19;198;0,19;0;0;0;0;498,5;0,09;498,5;0,09;22,5;0,02;22,5;0,02;0;0;0;0;129,7;0,13;129,7;0,13;620,1;0,15;620,1;0,15;74,8;0,07;74,8;0,07;225;0,1;225;0,1;0;0;0;0;;;;;264,9;0,43;264,9;0,43;0;0;0;0;233,9;0,18;233,9;0,18;0;0;0;0;0;0;0;0;0;0;0;0
03/01/2016;;;;;0;0;0;0;0;0;0;0;0;0;0;0;94,9;0,09;94,9;0,09;49,9;0,12;49,9;0,12;214,7;0,04;214,7;0,04;0;0;0;0;0;0;0;0;49,9;0,05;49,9;0,05;434,2;0,11;434,2;0,11;0;0;0;0;199,6;0,09;199,6;0,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49,9;0,03;49,9;0,03;0;0;0;0
04/01/2016;;;;;0;0;0;0;0;0;0;0;149,9;0,06;149,9;0,06;108,9;0,1;108,9;0,1;0;0;0;0;169,6;0,03;169,6;0,03;0;0;0;0;0;0;0;0;287,1;0,29;287,1;0,29;449,3;0,08;449,3;0,08;0;0;0;0;249;0,11;249;0,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49,9;0,04;49,9;0,04;0;0;0;0;0;0;0;0;0;0;0;0
05/01/2016;;;;;0;0;0;0;177;0,09;177;0,09;83,9;0,03;83,9;0,03;249;0,2;249;0,2;0;0;0;0;49,8;0,01;49,8;0,01;89,8;0,06;89,8;0,06;0;0;0;0;0;0;0;0;0;0;0;0;108,8;0,11;108,8;0,11;387;0,15;387;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49,9;0,03;49,9;0,03;39,9;0,06;39,9;0,06
06/01/2016;;;;;0;0;0;0;34,9;0,02;34,9;0,02;172,8;0,07;172,8;0,07;0;0;0;0;0;0;0;0;89,8;0,02;89,8;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07/01/2016;;;;;0;0;0;0;0;0;0;0;0;0;0;0;115;0,09;115;0,09;0;0;0;0;894,5;0,16;894,5;0,16;39,9;0,03;39,9;0,03;0;0;0;0;0;0;0;0;218;0,04;218;0,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/01/2016;;;;;55;0,05;55;0,05;125;0,06;125;0,06;75;0,03;75;0,03;0;0;0;0;0;0;0;0;314;0,06;314;0,06;0;0;0;0;0;0;0;0;0;0;0;0;364;0,07;364;0,07;39,9;0,04;39,9;0,04;281,5;0,11;281,5;0,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09/01/2016;;;;;0;0;0;0;0;0;0;0;119,7;0,05;119,7;0,05;0;0;0;0;0;0;0;0;444,7;0,08;444,7;0,08;0;0;0;0;0;0;0;0;112,5;0,1;112,5;0,1;49,9;0,01;49,9;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/01/2016;;;;;0;0;0;0;0;0;0;0;0;0;0;0;781,8;0,64;781,8;0,64;0;0;0;0;1235,9;0,22;1235,9;0,22;417,9;0,28;417,9;0,28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39,9;0,05;39,9;0,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
