;REAL_53;REAL_53/SERV_53;VALOR_53;VALOR_53/SERV_53;REAL_51;REAL_51/SERV_51;VALOR_51;VALOR_51/SERV_51;REAL_14;REAL_14/SERV_14;VALOR_14;VALOR_14/SERV_14;REAL_45;REAL_45/SERV_45;VALOR_45;VALOR_45/SERV_45;REAL_38;REAL_38/SERV_38;VALOR_38;VALOR_38/SERV_38;REAL_28;REAL_28/SERV_28;VALOR_28;VALOR_28/SERV_28;REAL_29;REAL_29/SERV_29;VALOR_29;VALOR_29/SERV_29;REAL_30;REAL_30/SERV_30;VALOR_30;VALOR_30/SERV_30;REAL_31;REAL_31/SERV_31;VALOR_31;VALOR_31/SERV_31;REAL_46;REAL_46/SERV_46;VALOR_46;VALOR_46/SERV_46;REAL_33;REAL_33/SERV_33;VALOR_33;VALOR_33/SERV_33;REAL_8;REAL_8/SERV_8;VALOR_8;VALOR_8/SERV_8;REAL_34;REAL_34/SERV_34;VALOR_34;VALOR_34/SERV_34;REAL_35;REAL_35/SERV_35;VALOR_35;VALOR_35/SERV_35;REAL_37;REAL_37/SERV_37;VALOR_37;VALOR_37/SERV_37;REAL_47;REAL_47/SERV_47;VALOR_47;VALOR_47/SERV_47;REAL_39;REAL_39/SERV_39;VALOR_39;VALOR_39/SERV_39;REAL_40;REAL_40/SERV_40;VALOR_40;VALOR_40/SERV_40;REAL_42;REAL_42/SERV_42;VALOR_42;VALOR_42/SERV_42;REAL_1;REAL_1/SERV_1;VALOR_1;VALOR_1/SERV_1;REAL_44;REAL_44/SERV_44;VALOR_44;VALOR_44/SERV_44;REAL_49;REAL_49/SERV_49;VALOR_49;VALOR_49/SERV_49;REAL_52;REAL_52/SERV_52;VALOR_52;VALOR_52/SERV_52
01/01/2018;;;;;138,90;0,05;138,90;0,05;0,00;0,00;0,00;0,00;237,00;0,04;237,00;0,04;615,00;0,14;615,00;0,14;299,00;0,17;299,00;0,17;0,00;0,00;0,00;0,00;694,50;0,06;694,50;0,06;99,00;0,05;99,00;0,05;0,00;0,00;0,00;0,00;197,00;0,12;197,00;0,12;530,00;0,08;530,00;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;90,00;0,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02/01/2018;;;;;203,00;0,07;203,00;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;157,00;0,04;157,00;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;347,00;0,03;377,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;118,00;0,07;118,00;0,07;299,00;0,05;1024,00;0,16;0,00;0,00;50,00;0,03;158,00;0,05;158,00;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
03/01/2018;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;90,00;0,01;90,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;170,00;0,10;170,00;0,10;388,00;0,06;388,00;0,06;0,00;0,00;0,00;0,00;503,90;0,16;503,90;0,16;0,00;0,00;0,00;0,00;225,00;0,09;225,00;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;69,00;0,08;69,00;0,08;284,00;0,05;284,00;0,05
04/01/2018;;;;;0,00;0,00;0,00;0,00;919,00;0,62;919,00;0,62;0,00;0,00;0,00;0,00;267,00;0,06;267,00;0,06;198,00;0,10;198,00;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;125,00;0,07;125,00;0,07;0,00;0,00;0,00;0,00;144,00;0,07;144,00;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;703,00;0,31;703,00;0,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
05/01/2018;;;;;154,00;0,05;154,00;0,05;99,00;0,07;99,00;0,07;0,00;0,00;0,00;0,00;697,00;0,12;697,00;0,12;285,00;0,15;285,00;0,15;0,00;0,00;0,00;0,00;1412,50;0,12;1412,50;0,12;0,00;0,00;50,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;555,00;0,09;555,00;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;149,00;0,10;149,00;0,10;0,00;0,00;0,00;0,00;164,90;0,07;164,90;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
06/01/2018;;;;;540,00;0,18;540,00;0,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;445,90;0,08;445,90;0,08;299,00;0,15;299,00;0,15;0,00;0,00;0,00;0,00;349,00;0,03;349,00;0,03;199,00;0,09;199,00;0,09;0,00;0,00;0,00;0,00;45,00;0,02;45,00;0,02;1179,40;0,18;1179,40;0,18;;;;;110,00;0,03;110,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;149,70;0,17;149,70;0,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
07/01/2018;;;;;639,90;0,21;639,90;0,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;568,20;0,10;568,20;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;110,00;0,05;130,00;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
08/01/2018;;;;;365,90;0,12;365,90;0,12;49,90;0,03;49,90;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;433,00;0,04;433,00;0,04;209,00;0,10;209,00;0,10;0,00;0,00;0,00;0,00;99,80;0,05;134,80;0,07;698,00;0,11;698,00;0,11;;;;;0,00;0,00;0,00;0,00;351,50;0,47;351,50;0,47;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;125,00;0,13;125,00;0,13;1196,00;0,22;1196,00;0,22
09/01/2018;;;;;240,00;0,06;240,00;0,06;0,00;0,00;0,00;0,00;411,00;0,07;411,00;0,07;330,00;0,06;330,00;0,06;302,00;0,15;302,00;0,15;0,00;0,00;0,00;0,00;505,00;0,04;505,00;0,04;0,00;0,00;300,00;0,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;698,00;0,11;698,00;0,11;;;;;524,00;0,14;524,00;0,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;99,80;0,11;99,80;0,11;228,70;0,15;228,70;0,15;0,00;0,00;0,00;0,00;368,50;0,15;368,50;0,15;0,00;0,00;0,00;0,00;398,00;0,07;398,00;0,07
10/01/2018;;;;;65,00;0,02;65,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;274,30;0,05;274,30;0,05;349,00;0,16;349,00;0,16;349,00;0,38;349,00;0,38;130,00;0,01;130,00;0,01;345,00;0,16;345,00;0,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;429,00;0,07;429,00;0,07;;;;;425,00;0,12;425,00;0,12;0,00;0,00;0,00;0,00;935,00;0,35;935,00;0,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;425,00;0,40;425,00;0,40;;;;
