;REAL_53;REAL_53/SERV_53;VALOR_53;VALOR_53/SERV_53;REAL_51;REAL_51/SERV_51;VALOR_51;VALOR_51/SERV_51;REAL_54;REAL_54/SERV_54;VALOR_54;VALOR_54/SERV_54;REAL_14;REAL_14/SERV_14;VALOR_14;VALOR_14/SERV_14;REAL_45;REAL_45/SERV_45;VALOR_45;VALOR_45/SERV_45;REAL_38;REAL_38/SERV_38;VALOR_38;VALOR_38/SERV_38;REAL_28;REAL_28/SERV_28;VALOR_28;VALOR_28/SERV_28;REAL_29;REAL_29/SERV_29;VALOR_29;VALOR_29/SERV_29;REAL_30;REAL_30/SERV_30;VALOR_30;VALOR_30/SERV_30;REAL_31;REAL_31/SERV_31;VALOR_31;VALOR_31/SERV_31;REAL_46;REAL_46/SERV_46;VALOR_46;VALOR_46/SERV_46;REAL_33;REAL_33/SERV_33;VALOR_33;VALOR_33/SERV_33;REAL_8;REAL_8/SERV_8;VALOR_8;VALOR_8/SERV_8;REAL_55;REAL_55/SERV_55;VALOR_55;VALOR_55/SERV_55;REAL_35;REAL_35/SERV_35;VALOR_35;VALOR_35/SERV_35;REAL_37;REAL_37/SERV_37;VALOR_37;VALOR_37/SERV_37;REAL_47;REAL_47/SERV_47;VALOR_47;VALOR_47/SERV_47;REAL_39;REAL_39/SERV_39;VALOR_39;VALOR_39/SERV_39;REAL_40;REAL_40/SERV_40;VALOR_40;VALOR_40/SERV_40;REAL_42;REAL_42/SERV_42;VALOR_42;VALOR_42/SERV_42;REAL_49;REAL_49/SERV_49;VALOR_49;VALOR_49/SERV_49;REAL_56;REAL_56/SERV_56;VALOR_56;VALOR_56/SERV_56;REAL_1;REAL_1/SERV_1;VALOR_1;VALOR_1/SERV_1
01/01/2019;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;135;0,02;135;0,02;0;0;0;0;0;0;0;0;551;0,03;551;0,03;0;0;0;0;0;0;0;0;148;0,08;148;0,08;0;0;0;0;;;;;0;0;0;0;54,7;0,07;54,7;0,07;0;0;0;0;39,8;0,02;39,8;0,02;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
02/01/2019;0;0;0;0;731;0,18;731;0,18;;;;;0;0;0;0;0;0;0;0;198,7;0,03;198,7;0,03;0;0;0;0;0;0;0;0;1402;0,07;1402;0,07;0;0;0;0;0;0;0;0;0;0;0;0;3512;0,54;3512;0,54;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
03/01/2019;0;0;0;0;0;0;0;0;;;;;0;0;0;0;1144,4;0,16;1144,4;0,16;0;0;0;0;0;0;0;0;245;0,27;295;0,32;0;0;0;0;0;0;0;0;0;0;0;0;415;0,17;415;0,17;79;0,01;79;0,01;;;;;925;0,25;925;0,25;49,9;0,07;49,9;0,07;0;0;0;0;24,9;0,01;24,9;0,01;0;0;0;0;175;0,11;175;0,11;0;0;0;0;;;;;0;0;0;0
04/01/2019;0;0;0;0;445;0,11;445;0,11;0;0;0;0;0;0;0;0;0;0;0;0;375,8;0,06;375,8;0,06;138;0,05;138;0,05;0;0;0;0;695;0,03;695;0,03;0;0;0;0;0;0;0;0;178;0,07;178;0,07;89;0,01;89;0,01;;;;;158;0,04;158;0,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1010;0,81;1010;0,81;0;0;0;0
05/01/2019;0;0;0;0;0;0;0;0;0;0;0;0;316;0,17;316;0,17;0;0;0;0;89;0,01;89;0,01;0;0;0;0;0;0;0;0;2800;0,13;2800;0,13;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;395;0,32;395;0,32;0;0;0;0
06/01/2019;0;0;0;0;293;0,1;293;0,1;0;0;0;0;0;0;0;0;0;0;0;0;395;0,05;395;0,05;0;0;0;0;0;0;0;0;2094;0,1;2094;0,1;0;0;0;0;149;0,06;149;0,06;0;0;0;0;69;0,01;69;0,01;135;0,08;135;0,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158;0,13;158;0,13;0;0;0;0
07/01/2019;0;0;0;0;158;0,05;158;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;296;0,08;296;0,08;0;0;0;0;0;0;0;0;416;0,06;416;0,06;0;0;0;0;198;0,05;198;0,05;149;0,2;149;0,2;0;0;0;0;0;0;0;0;128;0,12;128;0,12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/01/2019;0;0;0;0;264;0,09;264;0,09;0;0;0;0;0;0;0;0;0;0;0;0;324;0,04;324;0,04;0;0;0;0;0;0;0;0;823;0,04;823;0,04;525;0,14;525;0,14;0;0;0;0;267;0,11;267;0,11;660;0,1;660;0,1;1090;0,66;1090;0,66;475;0,11;475;0,11;0;0;0;0;138;0,05;138;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;298;0,24;298;0,24;0;0;0;0
09/01/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;0,01;99;0,01;0;0;0;0;0;0;0;0;470;0,02;470;0,02;350;0,09;350;0,09;0;0;0;0;0;0;0;0;1164;0,18;1164;0,18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;244;0,22;244;0,22;0;0;0;0;175;0,14;175;0,14;0;0;0;0;0;0;0;0
10/01/2019;0;0;0;0;110;0,02;110;0,02;0;0;0;0;2583;1,39;2583;1,39;639,7;0,09;639,7;0,09;1045;0,12;1145;0,13;0;0;0;0;1755;1,63;1755;1,63;845;0,04;845;0,04;110;0,03;110;0,03;0;0;0;0;0;0;0;0;247;0,04;1397;0,21;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;125;0,09;125;0,09;0;0;0;0;0;0;0;0
