;REAL_51;REAL_51/SERV_51;VALOR_51;VALOR_51/SERV_51;REAL_54;REAL_54/SERV_54;VALOR_54;VALOR_54/SERV_54;REAL_14;REAL_14/SERV_14;VALOR_14;VALOR_14/SERV_14;REAL_45;REAL_45/SERV_45;VALOR_45;VALOR_45/SERV_45;REAL_38;REAL_38/SERV_38;VALOR_38;VALOR_38/SERV_38;REAL_30;REAL_30/SERV_30;VALOR_30;VALOR_30/SERV_30;REAL_31;REAL_31/SERV_31;VALOR_31;VALOR_31/SERV_31;REAL_8;REAL_8/SERV_8;VALOR_8;VALOR_8/SERV_8;REAL_55;REAL_55/SERV_55;VALOR_55;VALOR_55/SERV_55;REAL_47;REAL_47/SERV_47;VALOR_47;VALOR_47/SERV_47;REAL_42;REAL_42/SERV_42;VALOR_42;VALOR_42/SERV_42;REAL_49;REAL_49/SERV_49;VALOR_49;VALOR_49/SERV_49;REAL_56;REAL_56/SERV_56;VALOR_56;VALOR_56/SERV_56
01/01/2021;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;45,00;0,02;45,00;0,02;0,00;0,00;0,00;0,00;575,00;0,03;625,00;0,03;1145,00;0,03;1735,00;0,04;0,00;0,00;0,00;0,00;379,00;0,06;1229,00;0,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
02/01/2021;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1215,00;0,10;1215,00;0,10;7705,00;0,17;9685,00;0,22;0,00;0,00;0,00;0,00;0,00;0,00;198,00;0,03;998,00;0,18;998,00;0,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;
03/01/2021;990,00;0,15;990,00;0,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;443,00;0,04;443,00;0,04;250,00;0,01;4630,00;0,10;199,00;0,03;699,00;0,10;400,00;0,06;1500,00;0,23;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;
04/01/2021;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1515,00;0,12;1515,00;0,12;2390,00;0,05;2440,00;0,05;0,00;0,00;0,00;0,00;924,00;0,14;4774,00;0,72;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
05/01/2021;0,00;0,00;0,00;0,00;;;;;2250,00;0,90;2550,00;1,02;0,00;0,00;0,00;0,00;597,00;0,04;597,00;0,04;1444,00;0,03;9584,00;0,21;0,00;0,00;0,00;0,00;1395,00;0,21;1395,00;0,21;7740,00;0,99;7740,00;0,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
06/01/2021;3247,00;0,40;3247,00;0,40;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10995,00;0,25;13746,00;0,31;398,00;0,06;2848,00;0,42;;;;;2250,00;0,29;2250,00;0,29;2250,00;0,75;2250,00;0,75;0,00;0,00;0,00;0,00;;;;;;;;
07/01/2021;14319,00;1,77;14319,00;1,77;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15965,00;0,36;16965,00;0,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
08/01/2021;4888,00;0,60;4888,00;0,60;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4045,00;0,29;4045,00;0,29;15205,00;0,34;15205,00;0,34;0,00;0,00;0,00;0,00;3853,00;0,37;3853,00;0,37;275,00;0,04;275,00;0,04;399,00;0,13;399,00;0,13;0,00;0,00;0,00;0,00;;;;;;;;
09/01/2021;3106,00;0,38;3838,00;0,47;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;590,00;0,04;651,00;0,05;8428,00;0,19;8672,00;0,19;0,00;0,00;0,00;0,00;150,00;0,01;272,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
10/01/2021;450,00;0,06;1080,00;0,13;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3909,00;0,20;3909,00;0,20;4148,00;0,09;4331,00;0,10;0,00;0,00;0,00;0,00;5864,00;0,57;5986,00;0,58;6098,00;0,58;6098,00;0,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
