;REAL_12;REAL_12/SERV_12;VALOR_12;VALOR_12/SERV_12;REAL_51;REAL_51/SERV_51;VALOR_51;VALOR_51/SERV_51;REAL_57;REAL_57/SERV_57;VALOR_57;VALOR_57/SERV_57;REAL_14;REAL_14/SERV_14;VALOR_14;VALOR_14/SERV_14;REAL_45;REAL_45/SERV_45;VALOR_45;VALOR_45/SERV_45;REAL_38;REAL_38/SERV_38;VALOR_38;VALOR_38/SERV_38;REAL_58;REAL_58/SERV_58;VALOR_58;VALOR_58/SERV_58;REAL_59;REAL_59/SERV_59;VALOR_59;VALOR_59/SERV_59;REAL_30;REAL_30/SERV_30;VALOR_30;VALOR_30/SERV_30;REAL_31;REAL_31/SERV_31;VALOR_31;VALOR_31/SERV_31;REAL_60;REAL_60/SERV_60;VALOR_60;VALOR_60/SERV_60;REAL_61;REAL_61/SERV_61;VALOR_61;VALOR_61/SERV_61;REAL_8;REAL_8/SERV_8;VALOR_8;VALOR_8/SERV_8;REAL_55;REAL_55/SERV_55;VALOR_55;VALOR_55/SERV_55;REAL_62;REAL_62/SERV_62;VALOR_62;VALOR_62/SERV_62;REAL_47;REAL_47/SERV_47;VALOR_47;VALOR_47/SERV_47;REAL_63;REAL_63/SERV_63;VALOR_63;VALOR_63/SERV_63;REAL_42;REAL_42/SERV_42;VALOR_42;VALOR_42/SERV_42;REAL_49;REAL_49/SERV_49;VALOR_49;VALOR_49/SERV_49
01/01/2022;0,00;0,00;0,00;0,00;0,00;0,00;1190,00;0,15;;;;;0,00;0,00;0,00;0,00;299,00;0,02;1049,00;0,07;0,00;0,00;750,00;0,05;;;;;;;;;0,00;0,00;7730,00;0,11;0,00;0,00;0,00;0,00;;;;;;;;;0,00;0,00;575,00;0,06;5250,00;0,40;7350,00;0,56;;;;;0,00;0,00;75,00;0,02;;;;;0,00;0,00;150,00;0,03;0,00;0,00;0,00;0,00
02/01/2022;0,00;0,00;0,00;0,00;0,00;0,00;2390,00;0,30;;;;;0,00;0,00;150,00;0,04;0,00;0,00;1125,00;0,07;0,00;0,00;1000,00;0,07;;;;;;;;;1474,00;0,02;15024,00;0,22;0,00;0,00;150,00;0,02;;;;;;;;;0,00;0,00;5270,00;0,51;8750,00;0,67;8950,00;0,68;;;;;0,00;0,00;65,00;0,01;;;;;875,00;0,20;875,00;0,20;0,00;0,00;0,00;0,00
03/01/2022;0,00;0,00;0,00;0,00;0,00;0,00;3415,00;0,42;;;;;0,00;0,00;3300,00;0,89;900,00;0,06;1310,00;0,08;0,00;0,00;3675,00;0,24;;;;;0,00;0,00;0,00;0,00;6500,00;0,09;9259,00;0,13;0,00;0,00;0,00;0,00;;;;;;;;;350,00;0,03;560,00;0,05;875,00;0,07;875,00;0,07;;;;;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
04/01/2022;0,00;0,00;0,00;0,00;0,00;0,00;835,00;0,10;;;;;0,00;0,00;0,00;0,00;1199,00;0,08;1259,00;0,08;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;4500,00;0,06;5220,00;0,08;0,00;0,00;0,00;0,00;;;;;;;;;300,00;0,03;7520,00;0,73;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
05/01/2022;0,00;0,00;0,00;0,00;0,00;0,00;825,00;0,07;;;;;0,00;0,00;0,00;0,00;0,00;0,00;50,00;0,00;775,00;0,03;850,00;0,04;;;;;0,00;0,00;0,00;0,00;4900,00;0,07;4900,00;0,07;0,00;0,00;0,00;0,00;;;;;;;;;700,00;0,07;1875,00;0,18;350,00;0,03;350,00;0,03;;;;;350,00;0,07;350,00;0,07;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
06/01/2022;0,00;0,00;0,00;0,00;0,00;0,00;950,00;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6210,00;0,40;7610,00;0,49;875,00;0,04;1975,00;0,09;;;;;0,00;0,00;0,00;0,00;690,00;0,01;1920,00;0,03;0,00;0,00;450,00;0,07;;;;;;;;;0,00;0,00;1975,00;0,19;875,00;0,07;875,00;0,07;;;;;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
07/01/2022;0,00;0,00;0,00;0,00;2970,00;0,24;2970,00;0,24;0,00;0,00;0,00;0,00;0,00;0,00;1000,00;0,22;2070,00;0,13;2070,00;0,13;0,00;0,00;175,00;0,01;;;;;0,00;0,00;0,00;0,00;3100,00;0,04;4125,00;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;990,00;0,06;1990,00;0,13;2250,00;0,13;2750,00;0,16;;;;;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
08/01/2022;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1050,00;0,04;1050,00;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4915,00;0,07;5855,00;0,08;0,00;0,00;70,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1980,00;0,13;1980,00;0,13;1375,00;0,08;1455,00;0,09;;;;;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
09/01/2022;4614,00;1,39;4974,00;1,50;2625,00;0,21;3045,00;0,24;0,00;0,00;0,00;0,00;0,00;0,00;2000,00;0,43;800,00;0,05;800,00;0,05;2405,00;0,08;2405,00;0,08;790,00;0,03;790,00;0,03;0,00;0,00;0,00;0,00;3940,00;0,06;4660,00;0,07;0,00;0,00;210,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;930,00;0,06;0,00;0,00;0,00;0,00;;;;;1375,00;0,21;1445,00;0,23;;;;;375,00;0,09;375,00;0,09;0,00;0,00;0,00;0,00
10/01/2022;0,00;0,00;0,00;0,00;0,00;0,00;240,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;160,00;0,03;6615,00;0,43;12765,00;0,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4775,00;0,07;6210,00;0,09;1250,00;0,16;2030,00;0,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2220,00;0,14;0,00;0,00;400,00;0,02;;;;;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;300,00;0,07
11/01/2022;0,00;0,00;0,00;0,00;0,00;0,00;1830,00;0,15;0,00;0,00;0,00;0,00;0,00;0,00;80,00;0,02;1875,00;0,12;1875,00;0,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;790,00;0,01;8450,00;0,12;0,00;0,00;790,00;0,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;160,00;0,01;790,00;0,04;90,00;0,00;;;;;0,00;0,00;0,00;0,00;;;;;0,00;0,00;80,00;0,02;0,00;0,00;80,00;0,02
12/01/2022;0,00;0,00;0,00;0,00;0,00;0,00;4700,00;0,38;0,00;0,00;0,00;0,00;0,00;0,00;240,00;0,04;1425,00;0,09;1425,00;0,09;0,00;0,00;0,00;0,00;1225,00;0,04;1225,00;0,04;;;;;2150,00;0,03;16270,00;0,23;0,00;0,00;2400,00;0,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2750,00;0,18;4040,00;0,20;14040,00;0,68;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;170,00;0,04;0,00;0,00;80,00;0,01
